Turn,Happiness,Load
0,0,46
1,0,46
2,0,46
3,0,46
4,0,46
5,0,73
6,124,78
7,114,79
8,114,80
9,116,83
10,145,81
11,140,80
12,130,83
13,124,82
14,141,80
15,139,78
16,137,79
17,137,79
18,137,82
19,139,78
20,135,77
21,149,78
22,133,79
23,130,80
24,129,78
25,129,79
26,127,80
27,126,81
28,123,78
29,112,82
30,124,85
31,117,91
32,125,89
33,109,81
34,106,82
35,96,79
36,94,85
37,95,83
38,99,80
39,99,80
40,96,76
41,92,86
42,80,80
43,77,80
44,74,74
45,67,78
46,65,79
47,59,86
48,45,78
49,46,78
50,38,78
51,36,77
52,38,82
53,33,80
54,30,84
55,30,81
56,26,84
57,23,78
58,19,82
59,18,88
60,28,81
61,29,74
62,29,74
63,26,75
64,27,75
65,16,82
66,6,80
67,24,81
68,21,78
69,26,74
70,30,77
71,22,77
72,16,75
73,26,79
74,27,80
75,28,78
76,29,89
77,31,87
78,60,84
79,34,80
80,36,80
81,49,84
82,47,80
83,50,84
84,52,80
85,49,85
86,70,83
87,56,83
88,54,81
89,73,80
90,78,80
91,67,80
92,85,79
93,80,79
94,83,79
95,92,81
96,92,81
97,92,81
98,97,85
99,77,77
100,89,77
101,94,77
102,92,75
103,92,85
104,85,86
105,86,78
106,91,86
107,97,74
108,99,79
109,106,77
110,117,86
111,74,76
112,108,78
113,90,83
114,95,83
115,87,79
116,95,79
117,100,80
118,100,84
119,100,84
120,100,84
121,105,81
122,93,79
123,97,89
124,96,93
125,97,83
126,97,83
127,97,92
128,94,85
129,82,80
130,73,79
131,73,79
132,91,78
133,79,78
134,72,84
135,74,90
136,78,85
137,86,84
138,86,84
139,86,84
140,86,84
141,65,55
142,112,47
143,112,47
