Turn,Happiness,Load
0,0.0,256.0
1,0.0,256.0
2,0.0,256.0
3,0.0,316.0
4,3.0,377.0
5,44.0,420.0
6,466.0,421.0
7,452.0,414.0
8,454.0,425.0
9,425.0,415.0
10,451.0,424.0
11,434.0,419.0
12,426.0,414.0
13,416.0,421.0
14,418.0,398.0
15,449.0,420.0
16,450.0,443.0
17,463.0,425.0
18,463.0,418.0
19,465.0,422.0
20,457.0,383.0
21,485.0,398.0
22,483.0,409.0
23,482.0,418.0
24,484.0,416.0
25,495.0,421.0
26,512.0,412.0
27,508.0,397.0
28,489.0,389.0
29,512.0,407.0
30,527.0,405.0
31,519.0,416.0
32,525.0,421.0
33,506.0,413.0
34,500.0,419.0
35,489.0,398.0
36,496.0,408.0
37,498.0,418.0
38,500.0,410.0
39,477.0,418.0
40,481.0,418.0
41,463.0,407.0
42,457.0,394.0
43,436.0,415.0
44,438.0,393.0
45,418.0,418.0
46,420.0,428.0
47,429.0,426.0
48,399.0,419.0
49,377.0,416.0
50,397.0,420.0
51,398.0,421.0
52,366.0,418.0
53,360.0,397.0
54,361.0,391.0
55,368.0,391.0
56,362.0,408.0
57,352.0,412.0
58,347.0,414.0
59,344.0,428.0
60,365.0,408.0
61,387.0,418.0
62,382.0,403.0
63,381.0,407.0
64,342.0,410.0
65,349.0,412.0
66,375.0,413.0
67,354.0,426.0
68,406.0,419.0
69,419.0,409.0
70,433.0,408.0
71,378.0,403.0
72,389.0,404.0
73,395.0,400.0
74,406.0,408.0
75,445.0,409.0
76,444.0,407.0
77,441.0,404.0
78,461.0,419.0
79,480.0,409.0
80,498.0,408.0
81,500.0,436.0
82,503.0,415.0
83,522.0,415.0
84,503.0,399.0
85,540.0,396.0
86,533.0,412.0
87,541.0,423.0
88,579.0,416.0
89,527.0,423.0
90,523.0,429.0
91,566.0,417.0
92,604.0,426.0
93,600.0,401.0
94,575.0,416.0
95,581.0,400.0
96,582.0,404.0
97,547.0,401.0
98,512.0,400.0
99,505.0,410.0
100,517.0,420.0
101,522.0,438.0
102,556.0,433.0
103,578.0,425.0
104,561.0,407.0
105,561.0,409.0
106,538.0,447.0
107,543.0,430.0
108,597.0,410.0
109,540.0,416.0
110,531.0,401.0
111,537.0,418.0
112,521.0,423.0
113,575.0,403.0
114,584.0,394.0
115,520.0,412.0
116,559.0,409.0
117,550.0,419.0
118,541.0,430.0
119,602.0,422.0
120,509.0,426.0
121,514.0,406.0
122,540.0,395.0
123,491.0,415.0
124,464.0,415.0
125,469.0,425.0
126,459.0,405.0
127,455.0,415.0
128,498.0,422.0
129,483.0,433.0
130,530.0,415.0
131,501.0,412.0
132,529.0,405.0
133,489.0,426.0
134,491.0,420.0
135,481.0,434.0
136,490.0,401.0
137,511.0,400.0
138,487.0,413.0
139,472.0,391.0
140,485.0,330.0
141,502.0,279.0
142,500.0,272.0
143,488.0,256.0
