Turn,Happiness,Load
0,0,60
1,0,60
2,0,60
3,0,60
4,10,76
5,274,83
6,284,84
7,312,82
8,285,82
9,322,80
10,320,79
11,325,80
12,327,83
13,331,81
14,315,83
15,298,86
16,318,82
17,305,87
18,305,86
19,321,86
20,333,83
21,354,80
22,326,84
23,336,82
24,336,80
25,336,81
26,336,82
27,336,82
28,299,89
29,275,80
30,273,82
31,284,82
32,335,87
33,315,87
34,318,89
35,332,82
36,308,80
37,294,88
38,282,92
39,278,92
40,265,88
41,268,82
42,236,83
43,266,81
44,258,82
45,236,82
46,219,81
47,214,84
48,196,77
49,185,79
50,143,83
51,139,83
52,160,81
53,94,81
54,87,79
55,80,79
56,80,79
57,61,83
58,59,84
59,46,87
60,60,85
61,26,83
62,29,79
63,29,84
64,29,84
65,19,84
66,6,82
67,5,81
68,5,81
69,5,81
70,5,89
71,6,76
72,6,85
73,6,84
74,3,82
75,13,83
76,8,81
77,3,85
78,0,85
79,0,86
80,0,77
81,3,82
82,1,78
83,0,82
84,0,80
85,0,80
86,2,79
87,1,87
88,1,89
89,11,83
90,13,81
91,13,78
92,10,83
93,11,83
94,0,86
95,8,84
96,0,89
97,22,88
98,0,82
99,0,81
100,12,81
101,12,82
102,0,78
103,1,84
104,0,83
105,10,84
106,0,82
107,5,81
108,12,78
109,13,88
110,17,83
111,0,81
112,7,79
113,7,87
114,0,79
115,12,78
116,0,76
117,13,80
118,0,76
119,16,80
120,11,79
121,0,79
122,1,80
123,16,82
124,19,83
125,12,83
126,12,83
127,22,85
128,29,84
129,26,83
130,57,84
131,26,81
132,36,81
133,9,77
134,37,82
135,18,83
136,14,82
137,8,78
138,14,78
139,0,75
140,0,75
141,0,75
142,0,73
143,0,73
