Turn,Happiness,Load
0,0.0,259.0
1,0.0,259.0
2,0.0,259.0
3,0.0,302.0
4,5.0,373.0
5,20.0,402.0
6,428.0,413.0
7,428.0,407.0
8,445.0,413.0
9,444.0,420.0
10,443.0,417.0
11,443.0,416.0
12,537.0,408.0
13,554.0,415.0
14,533.0,420.0
15,551.0,421.0
16,563.0,426.0
17,556.0,422.0
18,542.0,412.0
19,581.0,435.0
20,577.0,442.0
21,560.0,417.0
22,585.0,417.0
23,576.0,426.0
24,582.0,418.0
25,584.0,441.0
26,575.0,422.0
27,588.0,403.0
28,623.0,412.0
29,583.0,449.0
30,566.0,429.0
31,562.0,419.0
32,579.0,399.0
33,604.0,412.0
34,576.0,419.0
35,560.0,430.0
36,561.0,422.0
37,524.0,402.0
38,549.0,390.0
39,566.0,408.0
40,537.0,419.0
41,516.0,423.0
42,494.0,420.0
43,496.0,398.0
44,495.0,400.0
45,479.0,408.0
46,408.0,408.0
47,404.0,410.0
48,383.0,416.0
49,358.0,412.0
50,366.0,430.0
51,352.0,426.0
52,320.0,438.0
53,317.0,419.0
54,338.0,437.0
55,349.0,431.0
56,349.0,447.0
57,325.0,436.0
58,334.0,438.0
59,339.0,419.0
60,296.0,419.0
61,302.0,421.0
62,306.0,395.0
63,329.0,426.0
64,312.0,418.0
65,326.0,432.0
66,321.0,422.0
67,337.0,433.0
68,407.0,411.0
69,393.0,420.0
70,399.0,408.0
71,430.0,415.0
72,413.0,448.0
73,416.0,424.0
74,409.0,415.0
75,413.0,427.0
76,407.0,417.0
77,468.0,424.0
78,462.0,408.0
79,443.0,414.0
80,467.0,415.0
81,437.0,403.0
82,434.0,425.0
83,432.0,415.0
84,435.0,421.0
85,425.0,425.0
86,469.0,429.0
87,437.0,448.0
88,456.0,453.0
89,467.0,430.0
90,480.0,423.0
91,498.0,402.0
92,477.0,415.0
93,458.0,428.0
94,454.0,409.0
95,474.0,427.0
96,490.0,433.0
97,489.0,401.0
98,478.0,394.0
99,435.0,420.0
100,412.0,434.0
101,464.0,415.0
102,432.0,424.0
103,443.0,422.0
104,422.0,434.0
105,409.0,437.0
106,366.0,433.0
107,355.0,430.0
108,380.0,413.0
109,376.0,422.0
110,347.0,412.0
111,358.0,410.0
112,348.0,409.0
113,357.0,406.0
114,344.0,427.0
115,329.0,416.0
116,389.0,425.0
117,385.0,412.0
118,365.0,428.0
119,406.0,417.0
120,347.0,428.0
121,336.0,418.0
122,360.0,417.0
123,338.0,410.0
124,322.0,410.0
125,345.0,419.0
126,299.0,426.0
127,348.0,441.0
128,350.0,425.0
129,300.0,436.0
130,299.0,435.0
131,310.0,433.0
132,318.0,425.0
133,275.0,403.0
134,255.0,419.0
135,262.0,421.0
136,265.0,425.0
137,261.0,417.0
138,235.0,437.0
139,262.0,396.0
140,236.0,340.0
141,152.0,286.0
142,93.0,259.0
143,46.0,259.0
