Turn,Happiness,Load
0,0,15
1,0,15
2,0,15
3,21,61
4,25,73
5,72,86
6,83,82
7,82,83
8,76,85
9,73,84
10,72,83
11,67,90
12,64,88
13,64,88
14,64,88
15,64,88
16,80,84
17,79,84
18,72,79
19,77,85
20,77,83
21,78,80
22,67,84
23,75,82
24,75,82
25,72,88
26,73,85
27,78,85
28,92,90
29,87,88
30,97,88
31,89,85
32,90,84
33,87,86
34,66,81
35,70,84
36,72,85
37,69,89
38,67,86
39,63,88
40,63,88
41,60,88
42,52,85
43,54,83
44,61,80
45,72,85
46,67,82
47,64,82
48,70,81
49,65,80
50,53,79
51,56,80
52,63,88
53,47,84
54,47,79
55,55,84
56,51,80
57,48,88
58,48,88
59,49,79
60,52,82
61,52,82
62,50,81
63,52,88
64,82,85
65,92,85
66,91,86
67,99,88
68,97,85
69,93,85
70,95,84
71,76,81
72,84,82
73,85,81
74,96,83
75,101,90
76,115,88
77,121,89
78,151,84
79,158,91
80,131,85
81,133,83
82,138,82
83,150,82
84,142,78
85,153,84
86,133,80
87,137,81
88,137,81
89,156,83
90,146,85
91,140,89
92,150,96
93,160,88
94,145,84
95,156,84
96,146,78
97,129,80
98,150,81
99,148,89
100,142,83
101,156,80
102,141,83
103,144,86
104,159,83
105,166,79
106,151,86
107,146,85
108,146,85
109,121,81
110,127,80
111,119,77
112,89,80
113,93,87
114,101,86
115,90,94
116,85,88
117,81,83
118,91,82
119,84,82
120,89,87
121,92,89
122,89,87
123,82,82
124,84,86
125,71,90
126,65,80
127,57,82
128,62,81
129,63,90
130,61,79
131,56,87
132,60,77
133,61,82
134,65,82
135,55,81
136,58,86
137,50,91
138,68,81
139,65,79
140,71,75
141,63,60
142,53,43
143,53,43
