Turn,Happiness,Load
0,0.0,252.0
1,0.0,252.0
2,0.0,269.0
3,1.0,306.0
4,13.0,392.0
5,33.0,405.0
6,277.0,407.0
7,444.0,416.0
8,437.0,412.0
9,434.0,414.0
10,439.0,423.0
11,437.0,419.0
12,445.0,415.0
13,452.0,401.0
14,425.0,411.0
15,419.0,414.0
16,427.0,416.0
17,430.0,409.0
18,416.0,404.0
19,431.0,409.0
20,434.0,394.0
21,454.0,404.0
22,460.0,404.0
23,461.0,415.0
24,473.0,410.0
25,489.0,430.0
26,469.0,410.0
27,459.0,425.0
28,458.0,399.0
29,468.0,403.0
30,464.0,399.0
31,475.0,398.0
32,458.0,406.0
33,459.0,424.0
34,467.0,422.0
35,446.0,417.0
36,462.0,421.0
37,470.0,426.0
38,466.0,413.0
39,469.0,402.0
40,463.0,409.0
41,455.0,398.0
42,469.0,412.0
43,457.0,392.0
44,428.0,406.0
45,432.0,417.0
46,401.0,431.0
47,391.0,439.0
48,425.0,400.0
49,405.0,413.0
50,396.0,437.0
51,381.0,436.0
52,302.0,441.0
53,299.0,424.0
54,272.0,406.0
55,278.0,408.0
56,279.0,410.0
57,241.0,405.0
58,252.0,396.0
59,201.0,403.0
60,229.0,409.0
61,221.0,411.0
62,228.0,426.0
63,245.0,414.0
64,225.0,412.0
65,248.0,402.0
66,230.0,416.0
67,265.0,441.0
68,287.0,423.0
69,277.0,414.0
70,285.0,401.0
71,267.0,398.0
72,266.0,411.0
73,290.0,418.0
74,284.0,417.0
75,298.0,424.0
76,310.0,404.0
77,342.0,418.0
78,358.0,410.0
79,359.0,396.0
80,374.0,405.0
81,373.0,408.0
82,397.0,408.0
83,415.0,425.0
84,443.0,409.0
85,450.0,409.0
86,453.0,402.0
87,456.0,396.0
88,466.0,401.0
89,453.0,392.0
90,432.0,415.0
91,450.0,401.0
92,460.0,392.0
93,438.0,394.0
94,447.0,409.0
95,392.0,412.0
96,402.0,403.0
97,422.0,412.0
98,402.0,415.0
99,408.0,435.0
100,425.0,426.0
101,384.0,411.0
102,371.0,421.0
103,365.0,411.0
104,350.0,407.0
105,357.0,408.0
106,368.0,401.0
107,341.0,414.0
108,296.0,389.0
109,289.0,369.0
110,265.0,367.0
111,242.0,381.0
112,261.0,387.0
113,237.0,395.0
114,243.0,424.0
115,266.0,414.0
116,272.0,425.0
117,281.0,404.0
118,264.0,423.0
119,256.0,416.0
120,258.0,418.0
121,273.0,413.0
122,300.0,428.0
123,303.0,405.0
124,239.0,402.0
125,253.0,395.0
126,232.0,396.0
127,235.0,426.0
128,237.0,398.0
129,196.0,412.0
130,208.0,425.0
131,236.0,420.0
132,215.0,417.0
133,214.0,396.0
134,215.0,425.0
135,212.0,394.0
136,182.0,407.0
137,196.0,369.0
138,172.0,408.0
139,184.0,378.0
140,164.0,334.0
141,135.0,276.0
142,80.0,252.0
143,49.0,252.0
