Turn,Happiness,Load
0,0,58
1,0,58
2,0,58
3,135,75
4,120,73
5,129,85
6,129,85
7,129,85
8,145,81
9,122,83
10,131,81
11,125,80
12,139,91
13,145,87
14,137,87
15,125,83
16,125,81
17,125,81
18,122,78
19,134,81
20,135,78
21,123,84
22,132,85
23,132,83
24,124,81
25,114,78
26,114,78
27,112,79
28,117,84
29,117,84
30,123,82
31,104,81
32,101,84
33,104,88
34,76,83
35,73,79
36,73,79
37,73,79
38,73,79
39,85,75
40,81,75
41,75,78
42,69,82
43,61,84
44,50,81
45,45,84
46,44,88
47,37,87
48,30,81
49,25,88
50,17,80
51,18,84
52,14,87
53,12,82
54,14,89
55,14,89
56,14,89
57,13,80
58,9,78
59,10,76
60,9,80
61,13,85
62,14,89
63,0,78
64,5,92
65,5,81
66,3,81
67,5,79
68,9,83
69,10,85
70,15,92
71,18,85
72,26,84
73,27,90
74,11,82
75,13,71
76,16,76
77,11,80
78,13,80
79,14,79
80,22,80
81,23,77
82,34,87
83,34,90
84,37,82
85,37,84
86,26,83
87,26,80
88,26,80
89,26,80
90,33,81
91,43,86
92,49,85
93,53,87
94,55,87
95,59,85
96,63,86
97,65,80
98,63,80
99,66,88
100,68,87
101,65,85
102,68,87
103,70,86
104,75,89
105,82,86
106,77,83
107,84,83
108,84,83
109,84,83
110,99,79
111,92,79
112,93,87
113,91,84
114,90,87
115,96,89
116,64,78
117,69,87
118,59,80
119,71,85
120,73,82
121,53,82
122,53,77
123,58,86
124,57,86
125,56,76
126,55,81
127,62,83
128,53,81
129,57,89
130,37,85
131,43,84
132,51,87
133,51,86
134,52,94
135,33,86
136,35,83
137,39,87
138,45,80
139,40,80
140,39,77
141,39,77
142,39,77
143,39,77
