Turn,Happiness,Load
0,0.0,231.0
1,0.0,231.0
2,0.0,231.0
3,0.0,231.0
4,0.0,363.0
5,13.0,376.0
6,13.0,401.0
7,370.0,394.0
8,440.0,405.0
9,371.0,406.0
10,392.0,417.0
11,396.0,406.0
12,411.0,411.0
13,416.0,406.0
14,428.0,406.0
15,427.0,405.0
16,427.0,411.0
17,433.0,407.0
18,437.0,401.0
19,439.0,404.0
20,440.0,413.0
21,434.0,411.0
22,440.0,408.0
23,446.0,400.0
24,467.0,409.0
25,459.0,409.0
26,455.0,426.0
27,452.0,412.0
28,453.0,411.0
29,444.0,402.0
30,464.0,413.0
31,465.0,418.0
32,468.0,428.0
33,460.0,423.0
34,454.0,421.0
35,459.0,433.0
36,453.0,414.0
37,476.0,420.0
38,477.0,400.0
39,451.0,405.0
40,437.0,392.0
41,431.0,393.0
42,426.0,396.0
43,383.0,399.0
44,373.0,408.0
45,366.0,408.0
46,349.0,403.0
47,333.0,410.0
48,337.0,401.0
49,328.0,401.0
50,306.0,410.0
51,305.0,418.0
52,294.0,405.0
53,300.0,404.0
54,304.0,418.0
55,292.0,433.0
56,297.0,420.0
57,307.0,427.0
58,312.0,399.0
59,219.0,393.0
60,235.0,415.0
61,244.0,405.0
62,253.0,408.0
63,265.0,411.0
64,278.0,403.0
65,289.0,408.0
66,292.0,385.0
67,258.0,395.0
68,277.0,392.0
69,267.0,409.0
70,279.0,419.0
71,286.0,421.0
72,302.0,427.0
73,305.0,425.0
74,321.0,433.0
75,334.0,407.0
76,359.0,414.0
77,377.0,411.0
78,379.0,416.0
79,386.0,418.0
80,392.0,407.0
81,411.0,416.0
82,407.0,413.0
83,410.0,406.0
84,408.0,400.0
85,419.0,394.0
86,432.0,410.0
87,436.0,403.0
88,446.0,425.0
89,442.0,417.0
90,461.0,403.0
91,448.0,416.0
92,461.0,389.0
93,449.0,400.0
94,456.0,404.0
95,456.0,403.0
96,464.0,409.0
97,461.0,427.0
98,462.0,415.0
99,472.0,414.0
100,494.0,418.0
101,490.0,412.0
102,488.0,420.0
103,438.0,433.0
104,427.0,394.0
105,424.0,403.0
106,422.0,397.0
107,419.0,395.0
108,405.0,396.0
109,394.0,402.0
110,393.0,410.0
111,395.0,402.0
112,371.0,396.0
113,374.0,402.0
114,368.0,399.0
115,364.0,401.0
116,366.0,395.0
117,364.0,394.0
118,375.0,409.0
119,366.0,408.0
120,374.0,409.0
121,365.0,416.0
122,354.0,404.0
123,356.0,406.0
124,359.0,393.0
125,354.0,397.0
126,353.0,403.0
127,353.0,399.0
128,359.0,394.0
129,350.0,398.0
130,339.0,395.0
131,332.0,405.0
132,329.0,410.0
133,343.0,387.0
134,147.0,410.0
135,158.0,403.0
136,164.0,417.0
137,159.0,401.0
138,171.0,400.0
139,170.0,400.0
140,176.0,400.0
141,176.0,400.0
142,176.0,400.0
143,176.0,400.0
