Turn,Happiness,Load
0,0,52
1,0,52
2,0,52
3,0,52
4,0,69
5,3,85
6,10,81
7,8,88
8,8,92
9,6,85
10,11,85
11,12,81
12,6,84
13,6,83
14,4,85
15,2,89
16,1,86
17,1,81
18,2,85
19,1,86
20,0,90
21,1,85
22,0,81
23,0,80
24,0,84
25,0,84
26,0,80
27,0,87
28,0,83
29,0,88
30,0,83
31,0,81
32,0,76
33,0,76
34,0,80
35,0,81
36,0,83
37,0,89
38,0,89
39,0,85
40,0,82
41,1,86
42,1,86
43,1,78
44,8,85
45,10,88
46,3,86
47,3,84
48,3,84
49,5,78
50,7,79
51,8,86
52,12,89
53,17,84
54,21,81
55,21,81
56,27,79
57,36,83
58,30,82
59,37,81
60,29,84
61,34,85
62,38,80
63,41,85
64,54,85
65,59,81
66,66,81
67,96,84
68,80,88
69,112,84
70,118,90
71,131,81
72,148,81
73,151,82
74,129,84
75,141,81
76,141,81
77,149,83
78,155,78
79,160,79
80,158,79
81,166,82
82,171,84
83,151,84
84,151,89
85,192,85
86,217,92
87,172,82
88,159,84
89,194,81
90,175,86
91,197,86
92,187,84
93,196,83
94,194,84
95,172,87
96,169,83
97,165,82
98,163,77
99,175,78
100,180,79
101,175,87
102,173,81
103,185,77
104,196,82
105,162,79
106,177,80
107,173,80
108,144,77
109,144,79
110,128,82
111,126,81
112,162,82
113,126,84
114,136,79
115,150,82
116,132,84
117,131,88
118,164,85
119,72,86
120,68,83
121,62,80
122,60,87
123,58,82
124,142,84
125,93,81
126,79,82
127,65,85
128,58,93
129,90,85
130,90,83
131,100,86
132,91,80
133,123,82
134,53,87
135,54,78
136,62,84
137,48,78
138,79,77
139,72,76
140,78,66
141,71,55
142,46,51
143,46,51
