Turn,Happiness,Load
0,6.0,261.0
1,6.0,261.0
2,6.0,261.0
3,6.0,329.0
4,473.0,385.0
5,470.0,406.0
6,452.0,420.0
7,433.0,422.0
8,416.0,431.0
9,437.0,421.0
10,430.0,413.0
11,441.0,422.0
12,433.0,414.0
13,433.0,434.0
14,454.0,437.0
15,444.0,432.0
16,450.0,439.0
17,465.0,440.0
18,468.0,455.0
19,470.0,448.0
20,478.0,414.0
21,475.0,438.0
22,479.0,424.0
23,495.0,428.0
24,502.0,397.0
25,497.0,406.0
26,509.0,415.0
27,491.0,419.0
28,484.0,415.0
29,500.0,434.0
30,509.0,440.0
31,504.0,433.0
32,499.0,437.0
33,503.0,430.0
34,488.0,416.0
35,509.0,417.0
36,500.0,407.0
37,491.0,417.0
38,486.0,412.0
39,476.0,408.0
40,477.0,401.0
41,463.0,413.0
42,443.0,414.0
43,437.0,424.0
44,428.0,436.0
45,415.0,450.0
46,434.0,445.0
47,394.0,418.0
48,387.0,405.0
49,393.0,402.0
50,387.0,393.0
51,343.0,389.0
52,371.0,411.0
53,368.0,418.0
54,370.0,409.0
55,330.0,405.0
56,320.0,431.0
57,322.0,432.0
58,371.0,427.0
59,349.0,419.0
60,343.0,415.0
61,362.0,417.0
62,362.0,421.0
63,364.0,423.0
64,410.0,417.0
65,405.0,418.0
66,403.0,412.0
67,386.0,429.0
68,398.0,416.0
69,424.0,402.0
70,428.0,424.0
71,455.0,411.0
72,476.0,421.0
73,439.0,423.0
74,455.0,410.0
75,477.0,416.0
76,503.0,389.0
77,490.0,416.0
78,487.0,423.0
79,503.0,412.0
80,522.0,427.0
81,529.0,414.0
82,541.0,394.0
83,510.0,418.0
84,560.0,424.0
85,562.0,427.0
86,565.0,411.0
87,589.0,403.0
88,567.0,419.0
89,581.0,411.0
90,575.0,416.0
91,516.0,409.0
92,524.0,410.0
93,527.0,429.0
94,533.0,433.0
95,543.0,408.0
96,537.0,420.0
97,568.0,423.0
98,536.0,416.0
99,535.0,412.0
100,538.0,395.0
101,567.0,415.0
102,544.0,443.0
103,505.0,438.0
104,541.0,457.0
105,539.0,432.0
106,553.0,436.0
107,507.0,426.0
108,498.0,410.0
109,564.0,407.0
110,460.0,398.0
111,460.0,412.0
112,475.0,417.0
113,538.0,423.0
114,537.0,430.0
115,581.0,437.0
116,500.0,430.0
117,509.0,420.0
118,537.0,433.0
119,485.0,415.0
120,492.0,432.0
121,477.0,422.0
122,467.0,412.0
123,543.0,411.0
124,508.0,429.0
125,506.0,415.0
126,510.0,414.0
127,498.0,440.0
128,462.0,442.0
129,422.0,418.0
130,443.0,422.0
131,431.0,434.0
132,439.0,433.0
133,442.0,421.0
134,409.0,419.0
135,413.0,433.0
136,419.0,420.0
137,512.0,427.0
138,515.0,426.0
139,457.0,420.0
140,448.0,420.0
141,448.0,420.0
142,448.0,261.0
143,519.0,261.0
