Turn,Happiness,Load
0,0,52
1,0,52
2,0,52
3,0,52
4,0,74
5,0,81
6,5,83
7,4,91
8,5,90
9,4,85
10,4,85
11,3,78
12,2,83
13,2,87
14,1,90
15,3,90
16,1,83
17,0,79
18,0,79
19,0,80
20,0,80
21,0,80
22,0,80
23,0,81
24,0,81
25,0,77
26,0,76
27,0,78
28,0,78
29,0,78
30,0,78
31,0,84
32,0,84
33,0,92
34,0,92
35,0,84
36,0,84
37,0,80
38,0,80
39,0,78
40,0,78
41,0,83
42,0,78
43,0,80
44,0,89
45,0,89
46,0,76
47,0,76
48,0,77
49,0,75
50,0,75
51,0,75
52,0,82
53,0,82
54,2,78
55,0,80
56,8,85
57,4,79
58,4,79
59,4,85
60,4,85
61,4,85
62,28,81
63,29,83
64,25,81
65,22,79
66,22,78
67,29,77
68,31,82
69,48,85
70,67,82
71,61,83
72,42,80
73,88,80
74,88,80
75,70,75
76,74,78
77,156,85
78,138,88
79,133,83
80,107,80
81,152,82
82,148,84
83,130,80
84,149,81
85,139,80
86,107,75
87,190,76
88,190,76
89,199,78
90,185,80
91,209,82
92,195,82
93,211,83
94,201,83
95,203,83
96,195,78
97,194,79
98,180,79
99,183,93
100,145,80
101,143,79
102,214,77
103,213,79
104,148,81
105,142,79
106,102,82
107,101,82
108,117,80
109,14,76
110,39,78
111,4,75
112,12,76
113,4,75
114,6,75
115,28,80
116,20,79
117,4,75
118,4,76
119,0,75
120,0,76
121,24,79
122,0,79
123,11,78
124,0,75
125,0,75
126,4,78
127,18,87
128,40,83
129,27,85
130,25,81
131,8,78
132,11,76
133,0,75
134,5,82
135,0,77
136,29,80
137,22,81
138,20,84
139,13,77
140,0,75
141,0,75
142,0,75
143,0,75
