Turn,Happiness,Load
0,0.0,268.0
1,0.0,268.0
2,0.0,268.0
3,0.0,324.0
4,17.0,397.0
5,244.0,425.0
6,410.0,421.0
7,565.0,427.0
8,543.0,435.0
9,553.0,429.0
10,530.0,464.0
11,501.0,426.0
12,467.0,451.0
13,515.0,436.0
14,513.0,420.0
15,527.0,431.0
16,533.0,432.0
17,536.0,419.0
18,560.0,421.0
19,553.0,432.0
20,544.0,431.0
21,559.0,422.0
22,585.0,412.0
23,603.0,422.0
24,602.0,421.0
25,600.0,423.0
26,583.0,442.0
27,577.0,436.0
28,570.0,433.0
29,563.0,437.0
30,553.0,421.0
31,592.0,433.0
32,572.0,434.0
33,578.0,426.0
34,562.0,422.0
35,568.0,425.0
36,568.0,430.0
37,540.0,438.0
38,540.0,437.0
39,520.0,434.0
40,499.0,428.0
41,500.0,425.0
42,502.0,422.0
43,485.0,416.0
44,488.0,428.0
45,472.0,431.0
46,473.0,407.0
47,431.0,399.0
48,405.0,436.0
49,417.0,459.0
50,406.0,445.0
51,349.0,431.0
52,359.0,443.0
53,342.0,421.0
54,319.0,415.0
55,348.0,413.0
56,360.0,411.0
57,319.0,432.0
58,318.0,438.0
59,302.0,416.0
60,332.0,419.0
61,330.0,438.0
62,335.0,419.0
63,323.0,430.0
64,348.0,383.0
65,349.0,392.0
66,329.0,399.0
67,338.0,394.0
68,335.0,403.0
69,400.0,440.0
70,370.0,434.0
71,391.0,445.0
72,358.0,451.0
73,424.0,421.0
74,397.0,415.0
75,401.0,425.0
76,414.0,431.0
77,422.0,438.0
78,430.0,437.0
79,472.0,438.0
80,485.0,413.0
81,446.0,420.0
82,461.0,406.0
83,462.0,433.0
84,434.0,418.0
85,458.0,409.0
86,446.0,408.0
87,457.0,406.0
88,468.0,402.0
89,498.0,406.0
90,511.0,433.0
91,518.0,433.0
92,515.0,430.0
93,528.0,438.0
94,521.0,448.0
95,504.0,434.0
96,504.0,425.0
97,499.0,425.0
98,488.0,415.0
99,481.0,403.0
100,503.0,426.0
101,513.0,411.0
102,469.0,434.0
103,501.0,433.0
104,414.0,430.0
105,439.0,421.0
106,423.0,419.0
107,397.0,426.0
108,430.0,444.0
109,379.0,432.0
110,380.0,420.0
111,400.0,433.0
112,439.0,416.0
113,402.0,421.0
114,366.0,429.0
115,351.0,437.0
116,369.0,425.0
117,377.0,411.0
118,372.0,419.0
119,318.0,440.0
120,317.0,438.0
121,362.0,443.0
122,308.0,438.0
123,303.0,429.0
124,308.0,426.0
125,341.0,413.0
126,287.0,431.0
127,289.0,425.0
128,307.0,404.0
129,264.0,424.0
130,291.0,433.0
131,298.0,421.0
132,249.0,419.0
133,277.0,412.0
134,282.0,426.0
135,275.0,426.0
136,284.0,443.0
137,289.0,439.0
138,323.0,443.0
139,256.0,410.0
140,270.0,352.0
141,164.0,297.0
142,65.0,268.0
143,37.0,268.0
