Turn,Happiness,Load
0,0,38
1,0,38
2,3,45
3,89,75
4,59,81
5,71,83
6,71,85
7,75,86
8,80,86
9,78,83
10,61,85
11,77,82
12,73,82
13,73,88
14,91,82
15,95,86
16,96,85
17,94,89
18,89,88
19,82,91
20,90,86
21,83,83
22,83,79
23,86,80
24,95,86
25,95,82
26,80,88
27,83,92
28,71,91
29,72,86
30,78,84
31,81,85
32,79,86
33,81,89
34,81,88
35,74,90
36,57,88
37,57,88
38,57,88
39,57,88
40,57,89
41,70,83
42,67,90
43,69,91
44,77,87
45,75,98
46,67,86
47,67,85
48,62,84
49,65,87
50,59,84
51,46,82
52,44,84
53,44,79
54,51,77
55,45,79
56,59,83
57,61,83
58,61,86
59,51,80
60,52,88
61,57,85
62,71,91
63,70,85
64,71,85
65,85,91
66,96,92
67,94,83
68,93,90
69,87,81
70,90,89
71,69,82
72,72,86
73,84,84
74,98,86
75,105,86
76,112,85
77,119,83
78,123,83
79,141,88
80,136,85
81,138,95
82,141,88
83,129,82
84,126,82
85,150,87
86,172,80
87,151,87
88,159,83
89,148,82
90,170,82
91,175,86
92,183,85
93,166,87
94,139,94
95,119,84
96,157,84
97,162,86
98,150,88
99,142,90
100,173,87
101,172,82
102,157,87
103,158,89
104,143,87
105,152,85
106,152,85
107,172,82
108,172,83
109,105,85
110,137,84
111,116,89
112,126,88
113,117,87
114,117,87
115,112,83
116,107,89
117,107,89
118,97,84
119,127,89
120,123,94
121,113,93
122,99,89
123,93,89
124,93,82
125,88,83
126,92,88
127,95,88
128,85,83
129,88,85
130,81,84
131,80,94
132,70,82
133,71,93
134,89,84
135,81,84
136,89,83
137,82,84
138,70,86
139,70,80
140,72,73
141,45,38
142,25,17
143,20,15
