Turn,Happiness,Load
0,0.0,238.0
1,0.0,238.0
2,0.0,244.0
3,4.0,332.0
4,368.0,392.0
5,413.0,418.0
6,410.0,392.0
7,384.0,391.0
8,383.0,386.0
9,394.0,377.0
10,381.0,361.0
11,345.0,389.0
12,358.0,405.0
13,375.0,400.0
14,398.0,417.0
15,399.0,408.0
16,396.0,416.0
17,402.0,414.0
18,419.0,385.0
19,485.0,388.0
20,460.0,382.0
21,445.0,386.0
22,455.0,396.0
23,446.0,374.0
24,433.0,393.0
25,437.0,396.0
26,468.0,390.0
27,448.0,393.0
28,436.0,401.0
29,428.0,404.0
30,445.0,404.0
31,459.0,409.0
32,471.0,416.0
33,468.0,429.0
34,480.0,412.0
35,463.0,423.0
36,466.0,404.0
37,487.0,411.0
38,545.0,412.0
39,506.0,406.0
40,455.0,396.0
41,440.0,411.0
42,434.0,435.0
43,439.0,416.0
44,420.0,385.0
45,446.0,385.0
46,431.0,396.0
47,427.0,402.0
48,374.0,407.0
49,380.0,382.0
50,313.0,408.0
51,324.0,404.0
52,339.0,413.0
53,331.0,397.0
54,268.0,384.0
55,212.0,391.0
56,218.0,418.0
57,212.0,405.0
58,220.0,399.0
59,205.0,381.0
60,192.0,367.0
61,183.0,381.0
62,200.0,414.0
63,204.0,419.0
64,240.0,384.0
65,235.0,416.0
66,247.0,403.0
67,269.0,409.0
68,286.0,384.0
69,298.0,397.0
70,318.0,409.0
71,347.0,404.0
72,323.0,403.0
73,319.0,391.0
74,317.0,397.0
75,323.0,391.0
76,338.0,398.0
77,334.0,400.0
78,347.0,402.0
79,359.0,410.0
80,356.0,410.0
81,353.0,407.0
82,362.0,401.0
83,366.0,397.0
84,369.0,414.0
85,359.0,402.0
86,501.0,383.0
87,487.0,395.0
88,466.0,410.0
89,486.0,396.0
90,489.0,402.0
91,449.0,411.0
92,464.0,399.0
93,426.0,403.0
94,423.0,410.0
95,424.0,401.0
96,364.0,400.0
97,367.0,399.0
98,343.0,424.0
99,375.0,394.0
100,350.0,419.0
101,370.0,393.0
102,326.0,378.0
103,319.0,349.0
104,209.0,370.0
105,238.0,402.0
106,265.0,428.0
107,286.0,386.0
108,301.0,387.0
109,272.0,403.0
110,256.0,387.0
111,242.0,391.0
112,222.0,391.0
113,233.0,382.0
114,236.0,419.0
115,262.0,411.0
116,223.0,434.0
117,240.0,396.0
118,233.0,389.0
119,225.0,408.0
120,215.0,421.0
121,222.0,399.0
122,232.0,395.0
123,198.0,390.0
124,201.0,374.0
125,160.0,394.0
126,167.0,378.0
127,157.0,398.0
128,202.0,389.0
129,172.0,390.0
130,161.0,401.0
131,187.0,396.0
132,199.0,398.0
133,183.0,408.0
134,193.0,390.0
135,204.0,415.0
136,231.0,397.0
137,210.0,405.0
138,203.0,409.0
139,182.0,391.0
140,172.0,321.0
141,116.0,256.0
142,72.0,238.0
143,56.0,238.0
