Turn,Happiness,Load
0,0,59
1,0,59
2,0,59
3,0,70
4,3,77
5,14,89
6,12,85
7,12,88
8,9,83
9,8,89
10,6,82
11,4,82
12,3,79
13,2,80
14,2,84
15,1,90
16,1,83
17,0,76
18,0,79
19,0,83
20,0,78
21,0,87
22,0,78
23,0,85
24,0,84
25,0,90
26,0,88
27,0,83
28,0,81
29,0,80
30,0,91
31,0,84
32,0,79
33,0,87
34,0,78
35,0,78
36,0,79
37,0,80
38,0,77
39,0,88
40,0,80
41,0,79
42,0,80
43,0,85
44,0,79
45,0,84
46,0,84
47,1,83
48,2,82
49,0,85
50,0,84
51,0,86
52,0,81
53,2,88
54,8,80
55,8,81
56,13,80
57,19,86
58,23,83
59,28,80
60,28,81
61,10,87
62,19,89
63,23,85
64,19,80
65,25,84
66,25,84
67,25,84
68,32,79
69,43,79
70,48,85
71,47,87
72,78,80
73,90,81
74,99,79
75,111,87
76,93,85
77,90,84
78,74,87
79,81,86
80,81,86
81,81,86
82,153,80
83,167,87
84,158,82
85,168,85
86,156,80
87,183,84
88,149,88
89,155,86
90,153,83
91,153,83
92,127,84
93,121,89
94,185,86
95,137,90
96,137,86
97,146,81
98,148,90
99,147,82
100,146,82
101,146,82
102,146,82
103,53,83
104,59,78
105,60,84
106,60,87
107,24,87
108,32,86
109,29,83
110,28,83
111,38,81
112,44,84
113,47,83
114,55,82
115,67,88
116,63,80
117,68,83
118,61,90
119,75,87
120,85,80
121,85,84
122,85,84
123,90,78
124,4,82
125,6,87
126,8,81
127,8,82
128,21,85
129,32,85
130,18,81
131,17,85
132,0,80
133,6,90
134,1,81
135,38,84
136,21,83
137,20,81
138,19,82
139,19,82
140,19,82
141,19,82
142,19,82
143,19,82
