Turn,Happiness,Load
0,0.0,241.0
1,0.0,241.0
2,0.0,262.0
3,9.0,262.0
4,9.0,383.0
5,455.0,403.0
6,476.0,404.0
7,462.0,408.0
8,461.0,407.0
9,449.0,402.0
10,450.0,414.0
11,440.0,417.0
12,428.0,428.0
13,411.0,408.0
14,409.0,412.0
15,400.0,413.0
16,410.0,408.0
17,409.0,410.0
18,415.0,382.0
19,448.0,388.0
20,448.0,400.0
21,448.0,397.0
22,456.0,386.0
23,453.0,388.0
24,450.0,410.0
25,473.0,403.0
26,510.0,402.0
27,497.0,403.0
28,486.0,410.0
29,488.0,404.0
30,486.0,401.0
31,469.0,412.0
32,482.0,414.0
33,474.0,399.0
34,460.0,420.0
35,462.0,420.0
36,464.0,420.0
37,440.0,421.0
38,432.0,412.0
39,426.0,398.0
40,436.0,394.0
41,435.0,407.0
42,405.0,409.0
43,353.0,408.0
44,345.0,421.0
45,347.0,408.0
46,353.0,394.0
47,341.0,399.0
48,332.0,396.0
49,329.0,400.0
50,329.0,408.0
51,293.0,412.0
52,291.0,399.0
53,280.0,404.0
54,288.0,400.0
55,278.0,398.0
56,280.0,407.0
57,294.0,435.0
58,309.0,433.0
59,303.0,412.0
60,306.0,415.0
61,324.0,419.0
62,282.0,422.0
63,287.0,411.0
64,297.0,397.0
65,250.0,401.0
66,260.0,391.0
67,266.0,388.0
68,271.0,414.0
69,286.0,394.0
70,297.0,401.0
71,288.0,410.0
72,307.0,417.0
73,327.0,403.0
74,332.0,404.0
75,344.0,414.0
76,357.0,413.0
77,352.0,416.0
78,376.0,394.0
79,395.0,410.0
80,408.0,394.0
81,401.0,400.0
82,407.0,401.0
83,401.0,392.0
84,417.0,400.0
85,441.0,411.0
86,481.0,410.0
87,473.0,417.0
88,496.0,400.0
89,517.0,395.0
90,456.0,401.0
91,466.0,412.0
92,498.0,410.0
93,512.0,410.0
94,522.0,411.0
95,536.0,398.0
96,503.0,414.0
97,497.0,408.0
98,487.0,401.0
99,491.0,406.0
100,484.0,396.0
101,407.0,403.0
102,404.0,402.0
103,414.0,399.0
104,399.0,407.0
105,405.0,432.0
106,398.0,414.0
107,396.0,420.0
108,387.0,415.0
109,393.0,421.0
110,280.0,425.0
111,278.0,419.0
112,279.0,422.0
113,259.0,403.0
114,258.0,406.0
115,265.0,408.0
116,278.0,402.0
117,280.0,403.0
118,256.0,405.0
119,266.0,400.0
120,270.0,408.0
121,240.0,415.0
122,238.0,411.0
123,239.0,424.0
124,245.0,401.0
125,267.0,408.0
126,287.0,417.0
127,288.0,415.0
128,179.0,403.0
129,161.0,430.0
130,173.0,420.0
131,163.0,413.0
132,177.0,424.0
133,176.0,430.0
134,182.0,394.0
135,190.0,396.0
136,205.0,406.0
137,216.0,415.0
138,213.0,424.0
139,228.0,420.0
140,225.0,420.0
141,225.0,420.0
142,225.0,420.0
143,225.0,420.0
