Turn,Happiness,Load
0,70,51
1,43,51
2,51,56
3,51,56
4,48,77
5,43,83
6,24,82
7,24,82
8,15,86
9,14,85
10,7,87
11,3,87
12,5,88
13,4,87
14,3,91
15,4,86
16,0,82
17,0,87
18,0,83
19,0,84
20,0,79
21,0,81
22,0,88
23,0,80
24,0,84
25,0,86
26,0,85
27,0,82
28,0,83
29,0,78
30,0,87
31,0,82
32,0,81
33,0,82
34,0,83
35,0,81
36,0,79
37,0,83
38,0,86
39,0,86
40,0,80
41,0,79
42,0,79
43,0,80
44,0,88
45,0,90
46,0,84
47,4,79
48,3,86
49,7,87
50,7,87
51,7,87
52,19,80
53,22,84
54,29,83
55,41,81
56,41,81
57,42,83
58,27,83
59,29,88
60,34,90
61,58,84
62,52,85
63,82,82
64,76,77
65,89,84
66,80,84
67,56,82
68,60,90
69,58,79
70,74,83
71,72,84
72,102,79
73,104,80
74,104,80
75,104,80
76,116,80
77,121,83
78,148,81
79,146,80
80,173,82
81,180,81
82,162,80
83,172,81
84,181,81
85,152,78
86,152,78
87,160,84
88,166,80
89,170,81
90,180,86
91,170,83
92,170,83
93,170,83
94,170,93
95,197,83
96,179,81
97,180,82
98,151,81
99,172,84
100,178,83
101,196,85
102,144,81
103,144,81
104,164,80
105,165,84
106,147,82
107,159,82
108,159,84
109,136,86
110,136,85
111,157,86
112,133,88
113,146,81
114,140,82
115,131,83
116,136,78
117,128,80
118,119,79
119,77,81
120,76,79
121,84,79
122,71,88
123,107,81
124,76,84
125,73,83
126,71,90
127,69,80
128,62,85
129,119,81
130,108,77
131,79,80
132,76,81
133,95,88
134,93,85
135,97,86
136,93,90
137,95,85
138,103,85
139,78,78
140,53,66
141,53,66
142,53,66
143,53,66
