Turn,Happiness,Load
0,412.0,252.0
1,390.0,252.0
2,383.0,272.0
3,366.0,303.0
4,358.0,390.0
5,362.0,405.0
6,509.0,398.0
7,451.0,401.0
8,445.0,405.0
9,454.0,423.0
10,463.0,402.0
11,446.0,402.0
12,432.0,396.0
13,449.0,413.0
14,449.0,426.0
15,448.0,412.0
16,465.0,421.0
17,472.0,399.0
18,471.0,399.0
19,462.0,409.0
20,468.0,406.0
21,469.0,374.0
22,489.0,405.0
23,498.0,415.0
24,510.0,395.0
25,494.0,406.0
26,504.0,413.0
27,486.0,425.0
28,476.0,409.0
29,493.0,414.0
30,495.0,411.0
31,505.0,401.0
32,494.0,410.0
33,496.0,408.0
34,509.0,390.0
35,472.0,409.0
36,466.0,420.0
37,451.0,428.0
38,441.0,421.0
39,453.0,416.0
40,460.0,405.0
41,452.0,405.0
42,425.0,393.0
43,453.0,428.0
44,443.0,418.0
45,402.0,409.0
46,412.0,420.0
47,394.0,418.0
48,443.0,432.0
49,402.0,431.0
50,379.0,419.0
51,365.0,412.0
52,340.0,413.0
53,322.0,398.0
54,357.0,406.0
55,364.0,415.0
56,365.0,412.0
57,330.0,425.0
58,333.0,451.0
59,386.0,449.0
60,340.0,434.0
61,357.0,423.0
62,342.0,423.0
63,367.0,414.0
64,364.0,412.0
65,380.0,429.0
66,403.0,433.0
67,358.0,421.0
68,367.0,424.0
69,369.0,427.0
70,411.0,408.0
71,445.0,413.0
72,447.0,410.0
73,461.0,404.0
74,477.0,413.0
75,456.0,409.0
76,465.0,406.0
77,485.0,409.0
78,481.0,405.0
79,483.0,413.0
80,475.0,405.0
81,551.0,406.0
82,523.0,376.0
83,544.0,383.0
84,604.0,386.0
85,569.0,395.0
86,560.0,393.0
87,570.0,391.0
88,588.0,391.0
89,573.0,403.0
90,585.0,409.0
91,590.0,418.0
92,570.0,411.0
93,540.0,434.0
94,635.0,438.0
95,556.0,451.0
96,529.0,439.0
97,558.0,416.0
98,591.0,404.0
99,581.0,418.0
100,595.0,415.0
101,585.0,412.0
102,582.0,416.0
103,597.0,434.0
104,593.0,387.0
105,555.0,413.0
106,544.0,416.0
107,536.0,402.0
108,536.0,409.0
109,528.0,420.0
110,522.0,416.0
111,509.0,398.0
112,581.0,390.0
113,578.0,390.0
114,550.0,399.0
115,548.0,384.0
116,522.0,397.0
117,561.0,429.0
118,584.0,429.0
119,560.0,426.0
120,572.0,397.0
121,500.0,381.0
122,500.0,392.0
123,497.0,380.0
124,523.0,426.0
125,497.0,425.0
126,493.0,402.0
127,460.0,414.0
128,453.0,423.0
129,450.0,428.0
130,454.0,428.0
131,457.0,412.0
132,530.0,410.0
133,451.0,412.0
134,437.0,417.0
135,444.0,403.0
136,458.0,408.0
137,441.0,412.0
138,429.0,405.0
139,443.0,405.0
140,443.0,320.0
141,507.0,278.0
142,444.0,278.0
143,444.0,278.0
