Turn,Happiness,Load
0,0,63
1,0,63
2,0,63
3,0,68
4,9,75
5,152,84
6,177,84
7,165,80
8,165,80
9,151,87
10,149,81
11,142,79
12,142,80
13,130,81
14,145,84
15,132,77
16,140,82
17,139,88
18,160,78
19,159,81
20,152,79
21,150,81
22,147,84
23,157,83
24,157,85
25,147,83
26,151,80
27,143,84
28,134,83
29,132,87
30,141,82
31,145,82
32,123,80
33,124,77
34,115,77
35,127,82
36,123,86
37,89,80
38,79,85
39,75,86
40,66,82
41,66,79
42,61,84
43,49,82
44,48,82
45,43,88
46,43,88
47,43,94
48,43,94
49,16,78
50,10,79
51,10,82
52,19,81
53,19,86
54,19,86
55,14,89
56,14,89
57,14,89
58,4,79
59,6,84
60,4,86
61,6,82
62,6,84
63,6,82
64,7,81
65,13,79
66,18,92
67,8,87
68,9,86
69,9,77
70,9,80
71,9,80
72,10,88
73,21,83
74,24,82
75,22,84
76,22,84
77,35,83
78,29,82
79,36,83
80,24,79
81,25,76
82,21,77
83,38,76
84,38,76
85,42,79
86,31,81
87,31,82
88,42,82
89,51,80
90,41,82
91,28,82
92,32,82
93,30,82
94,32,80
95,58,85
96,61,83
97,67,82
98,63,77
99,76,78
100,63,80
101,64,81
102,57,81
103,67,80
104,69,84
105,57,82
106,57,82
107,62,80
108,69,78
109,76,81
110,79,82
111,86,85
112,78,83
113,55,85
114,61,81
115,70,91
116,44,88
117,45,78
118,68,86
119,57,81
120,63,79
121,60,80
122,54,79
123,51,79
124,64,78
125,68,83
126,57,85
127,48,83
128,54,84
129,38,84
130,42,83
131,40,82
132,41,82
133,41,83
134,37,78
135,37,83
136,28,80
137,47,81
138,26,79
139,14,75
140,11,67
141,10,57
142,10,57
143,7,47
