Turn,Happiness,Load
0,0.0,234.0
1,0.0,234.0
2,0.0,245.0
3,0.0,258.0
4,3.0,349.0
5,25.0,397.0
6,50.0,391.0
7,213.0,390.0
8,607.0,402.0
9,580.0,382.0
10,593.0,392.0
11,589.0,385.0
12,593.0,401.0
13,568.0,411.0
14,577.0,428.0
15,556.0,401.0
16,593.0,389.0
17,607.0,410.0
18,582.0,435.0
19,564.0,400.0
20,617.0,420.0
21,587.0,420.0
22,593.0,432.0
23,576.0,407.0
24,583.0,404.0
25,603.0,423.0
26,584.0,424.0
27,585.0,416.0
28,582.0,423.0
29,575.0,427.0
30,567.0,404.0
31,603.0,409.0
32,575.0,428.0
33,559.0,427.0
34,546.0,422.0
35,533.0,427.0
36,517.0,431.0
37,510.0,437.0
38,499.0,400.0
39,554.0,411.0
40,517.0,418.0
41,496.0,415.0
42,489.0,429.0
43,466.0,396.0
44,479.0,408.0
45,447.0,393.0
46,476.0,423.0
47,437.0,397.0
48,444.0,388.0
49,425.0,400.0
50,406.0,393.0
51,365.0,402.0
52,311.0,404.0
53,337.0,411.0
54,336.0,410.0
55,332.0,395.0
56,308.0,405.0
57,305.0,380.0
58,332.0,386.0
59,327.0,402.0
60,319.0,421.0
61,320.0,385.0
62,341.0,408.0
63,346.0,407.0
64,343.0,391.0
65,393.0,402.0
66,371.0,404.0
67,368.0,393.0
68,400.0,395.0
69,435.0,403.0
70,446.0,411.0
71,424.0,403.0
72,439.0,396.0
73,465.0,388.0
74,495.0,412.0
75,483.0,389.0
76,500.0,405.0
77,490.0,374.0
78,546.0,412.0
79,552.0,396.0
80,511.0,416.0
81,527.0,410.0
82,532.0,437.0
83,552.0,409.0
84,504.0,396.0
85,522.0,419.0
86,512.0,409.0
87,492.0,387.0
88,545.0,365.0
89,519.0,386.0
90,535.0,399.0
91,543.0,408.0
92,510.0,407.0
93,537.0,413.0
94,536.0,370.0
95,520.0,382.0
96,520.0,403.0
97,495.0,352.0
98,488.0,357.0
99,466.0,398.0
100,459.0,412.0
101,460.0,395.0
102,470.0,384.0
103,458.0,381.0
104,431.0,395.0
105,443.0,412.0
106,428.0,407.0
107,366.0,415.0
108,358.0,416.0
109,352.0,422.0
110,360.0,377.0
111,351.0,390.0
112,364.0,388.0
113,351.0,394.0
114,333.0,401.0
115,325.0,418.0
116,326.0,402.0
117,313.0,413.0
118,302.0,400.0
119,292.0,409.0
120,281.0,425.0
121,320.0,393.0
122,316.0,396.0
123,304.0,406.0
124,304.0,380.0
125,237.0,395.0
126,239.0,410.0
127,229.0,378.0
128,237.0,389.0
129,282.0,423.0
130,290.0,431.0
131,314.0,402.0
132,269.0,416.0
133,257.0,416.0
134,256.0,394.0
135,228.0,399.0
136,220.0,402.0
137,238.0,357.0
138,210.0,403.0
139,227.0,364.0
140,221.0,327.0
141,146.0,277.0
142,100.0,234.0
143,53.0,234.0
