Turn,Happiness,Load
0,0,29
1,0,29
2,0,29
3,0,29
4,16,78
5,70,80
6,57,79
7,75,80
8,75,83
9,77,82
10,81,90
11,72,81
12,69,85
13,67,90
14,70,84
15,72,83
16,69,83
17,76,85
18,76,86
19,79,83
20,76,82
21,76,82
22,76,80
23,77,85
24,76,93
25,79,84
26,82,85
27,81,90
28,75,82
29,68,79
30,72,85
31,82,94
32,80,82
33,78,84
34,78,84
35,79,83
36,78,81
37,75,83
38,71,82
39,70,87
40,60,82
41,54,75
42,60,80
43,59,82
44,56,85
45,50,89
46,51,85
47,51,86
48,52,91
49,53,84
50,46,82
51,42,80
52,51,82
53,51,86
54,53,83
55,48,87
56,44,87
57,49,80
58,53,83
59,57,85
60,47,84
61,44,86
62,44,86
63,64,78
64,84,79
65,81,81
66,81,81
67,95,83
68,87,85
69,87,85
70,83,79
71,85,85
72,99,81
73,103,81
74,111,83
75,98,83
76,123,77
77,121,85
78,116,84
79,129,80
80,135,86
81,128,83
82,135,88
83,152,82
84,144,80
85,132,80
86,154,83
87,142,81
88,145,84
89,148,83
90,140,80
91,146,87
92,149,84
93,150,81
94,144,83
95,133,87
96,145,80
97,151,86
98,148,86
99,149,82
100,176,87
101,148,83
102,140,87
103,155,87
104,146,84
105,142,83
106,140,89
107,143,87
108,142,85
109,129,79
110,123,82
111,147,83
112,154,81
113,152,85
114,137,86
115,110,88
116,121,77
117,101,78
118,103,79
119,152,82
120,155,82
121,129,83
122,129,83
123,123,83
124,116,86
125,115,83
126,109,82
127,98,88
128,93,86
129,76,82
130,76,82
131,100,81
132,90,83
133,103,84
134,87,82
135,94,85
136,93,82
137,74,86
138,72,80
139,72,80
140,38,31
141,46,38
142,26,23
143,26,23
