Turn,Happiness,Load
0,0.0,256.0
1,0.0,256.0
2,0.0,256.0
3,0.0,320.0
4,8.0,400.0
5,455.0,419.0
6,442.0,430.0
7,420.0,439.0
8,403.0,424.0
9,408.0,415.0
10,402.0,418.0
11,401.0,408.0
12,401.0,413.0
13,407.0,412.0
14,426.0,427.0
15,429.0,429.0
16,441.0,401.0
17,433.0,401.0
18,441.0,402.0
19,445.0,415.0
20,470.0,402.0
21,485.0,416.0
22,467.0,406.0
23,473.0,431.0
24,476.0,414.0
25,486.0,437.0
26,479.0,441.0
27,491.0,437.0
28,471.0,442.0
29,463.0,422.0
30,496.0,428.0
31,477.0,399.0
32,442.0,414.0
33,453.0,420.0
34,492.0,422.0
35,484.0,432.0
36,475.0,419.0
37,475.0,402.0
38,470.0,411.0
39,463.0,415.0
40,435.0,421.0
41,425.0,420.0
42,443.0,432.0
43,433.0,430.0
44,414.0,419.0
45,378.0,434.0
46,386.0,403.0
47,391.0,432.0
48,360.0,429.0
49,351.0,429.0
50,355.0,439.0
51,314.0,431.0
52,281.0,435.0
53,245.0,442.0
54,243.0,425.0
55,238.0,414.0
56,242.0,423.0
57,244.0,407.0
58,233.0,407.0
59,237.0,421.0
60,248.0,423.0
61,272.0,410.0
62,281.0,400.0
63,250.0,412.0
64,252.0,422.0
65,298.0,418.0
66,284.0,438.0
67,305.0,423.0
68,316.0,406.0
69,311.0,416.0
70,321.0,411.0
71,342.0,427.0
72,347.0,415.0
73,331.0,407.0
74,344.0,400.0
75,384.0,397.0
76,396.0,412.0
77,410.0,434.0
78,436.0,426.0
79,488.0,412.0
80,476.0,402.0
81,484.0,414.0
82,518.0,418.0
83,522.0,410.0
84,498.0,423.0
85,513.0,417.0
86,538.0,403.0
87,541.0,393.0
88,512.0,408.0
89,522.0,413.0
90,517.0,400.0
91,486.0,399.0
92,487.0,408.0
93,490.0,398.0
94,482.0,414.0
95,480.0,413.0
96,498.0,390.0
97,473.0,390.0
98,454.0,410.0
99,466.0,407.0
100,416.0,416.0
101,425.0,406.0
102,388.0,411.0
103,341.0,416.0
104,316.0,402.0
105,307.0,425.0
106,312.0,418.0
107,314.0,410.0
108,262.0,427.0
109,268.0,408.0
110,255.0,393.0
111,260.0,416.0
112,237.0,416.0
113,256.0,407.0
114,258.0,414.0
115,252.0,437.0
116,234.0,432.0
117,227.0,412.0
118,231.0,406.0
119,193.0,411.0
120,199.0,414.0
121,205.0,410.0
122,188.0,427.0
123,205.0,424.0
124,217.0,417.0
125,208.0,408.0
126,177.0,394.0
127,142.0,405.0
128,156.0,409.0
129,174.0,388.0
130,169.0,385.0
131,148.0,390.0
132,151.0,403.0
133,179.0,378.0
134,142.0,396.0
135,162.0,407.0
136,186.0,403.0
137,164.0,421.0
138,182.0,426.0
139,198.0,400.0
140,164.0,336.0
141,99.0,283.0
142,70.0,256.0
143,59.0,256.0
