Turn,Happiness,Load
0,79,55
1,79,55
2,79,55
3,79,55
4,80,77
5,175,90
6,136,83
7,145,90
8,131,87
9,133,85
10,140,86
11,130,87
12,136,84
13,136,84
14,131,88
15,139,81
16,118,83
17,102,80
18,122,85
19,130,91
20,126,90
21,126,90
22,159,89
23,133,87
24,122,88
25,118,93
26,129,87
27,114,90
28,119,87
29,119,87
30,117,81
31,112,88
32,115,87
33,104,84
34,118,84
35,111,83
36,77,89
37,85,95
38,75,94
39,76,83
40,62,80
41,59,86
42,48,80
43,51,87
44,42,86
45,34,82
46,33,82
47,23,89
48,17,81
49,13,89
50,23,84
51,19,84
52,10,90
53,8,83
54,11,93
55,8,84
56,6,84
57,8,84
58,8,85
59,0,83
60,3,93
61,3,85
62,4,84
63,5,78
64,1,84
65,0,87
66,0,85
67,5,83
68,5,84
69,8,90
70,18,87
71,19,81
72,21,92
73,16,84
74,18,85
75,13,86
76,14,87
77,20,85
78,31,81
79,36,87
80,45,85
81,30,88
82,24,85
83,29,82
84,45,88
85,44,87
86,38,87
87,41,86
88,35,86
89,39,87
90,41,91
91,33,83
92,40,85
93,39,85
94,47,91
95,45,90
96,38,82
97,62,84
98,68,83
99,70,90
100,82,78
101,75,85
102,76,94
103,69,87
104,104,90
105,108,83
106,112,84
107,103,85
108,99,88
109,98,82
110,105,94
111,102,82
112,105,80
113,106,81
114,96,86
115,51,88
116,55,81
117,64,84
118,44,85
119,60,86
120,66,85
121,37,88
122,41,93
123,45,84
124,43,88
125,38,81
126,43,84
127,42,89
128,45,78
129,44,84
130,45,89
131,37,85
132,24,91
133,25,83
134,27,86
135,28,82
136,28,82
137,25,84
138,31,90
139,33,91
140,33,91
141,33,91
142,33,91
143,33,91
