Turn,Happiness,Load
0,0.0,253.0
1,0.0,253.0
2,0.0,268.0
3,3.0,326.0
4,22.0,397.0
5,44.0,408.0
6,481.0,409.0
7,467.0,401.0
8,428.0,412.0
9,407.0,426.0
10,421.0,419.0
11,415.0,431.0
12,420.0,448.0
13,436.0,419.0
14,444.0,399.0
15,456.0,412.0
16,445.0,419.0
17,454.0,422.0
18,442.0,409.0
19,451.0,418.0
20,467.0,427.0
21,472.0,413.0
22,518.0,409.0
23,511.0,418.0
24,507.0,407.0
25,503.0,409.0
26,498.0,416.0
27,497.0,418.0
28,503.0,407.0
29,491.0,406.0
30,491.0,418.0
31,487.0,420.0
32,504.0,407.0
33,509.0,403.0
34,494.0,401.0
35,484.0,430.0
36,491.0,422.0
37,462.0,422.0
38,455.0,407.0
39,444.0,416.0
40,446.0,422.0
41,457.0,409.0
42,429.0,431.0
43,409.0,422.0
44,403.0,412.0
45,417.0,399.0
46,409.0,412.0
47,423.0,409.0
48,405.0,420.0
49,391.0,421.0
50,389.0,437.0
51,374.0,426.0
52,370.0,426.0
53,369.0,411.0
54,270.0,405.0
55,266.0,429.0
56,278.0,437.0
57,248.0,401.0
58,260.0,423.0
59,256.0,419.0
60,265.0,415.0
61,267.0,435.0
62,254.0,452.0
63,249.0,443.0
64,288.0,429.0
65,268.0,418.0
66,292.0,416.0
67,305.0,406.0
68,293.0,419.0
69,312.0,440.0
70,314.0,429.0
71,308.0,435.0
72,308.0,433.0
73,320.0,430.0
74,334.0,422.0
75,341.0,406.0
76,349.0,415.0
77,369.0,415.0
78,387.0,426.0
79,371.0,440.0
80,398.0,431.0
81,403.0,434.0
82,409.0,444.0
83,413.0,424.0
84,434.0,428.0
85,440.0,427.0
86,433.0,427.0
87,428.0,441.0
88,444.0,444.0
89,445.0,424.0
90,444.0,420.0
91,463.0,410.0
92,466.0,431.0
93,469.0,418.0
94,461.0,435.0
95,462.0,416.0
96,470.0,420.0
97,478.0,428.0
98,480.0,417.0
99,403.0,417.0
100,398.0,409.0
101,406.0,418.0
102,414.0,415.0
103,339.0,425.0
104,350.0,427.0
105,359.0,427.0
106,362.0,407.0
107,362.0,398.0
108,355.0,407.0
109,368.0,393.0
110,290.0,415.0
111,299.0,416.0
112,307.0,404.0
113,318.0,408.0
114,319.0,422.0
115,304.0,410.0
116,275.0,413.0
117,290.0,419.0
118,276.0,414.0
119,281.0,419.0
120,278.0,412.0
121,262.0,412.0
122,246.0,428.0
123,253.0,408.0
124,259.0,411.0
125,252.0,411.0
126,263.0,411.0
127,273.0,414.0
128,274.0,407.0
129,164.0,416.0
130,165.0,440.0
131,194.0,441.0
132,186.0,446.0
133,165.0,439.0
134,188.0,415.0
135,200.0,418.0
136,203.0,418.0
137,208.0,424.0
138,246.0,421.0
139,222.0,411.0
140,224.0,398.0
141,224.0,398.0
142,224.0,398.0
143,224.0,398.0
