Turn,Happiness,Load
0,68,52
1,68,52
2,68,52
3,37,66
4,37,83
5,24,85
6,18,88
7,18,84
8,18,84
9,18,84
10,10,88
11,6,89
12,5,83
13,2,87
14,4,88
15,2,87
16,2,87
17,1,83
18,1,85
19,1,81
20,0,79
21,3,82
22,3,91
23,2,83
24,2,91
25,1,89
26,0,85
27,1,84
28,1,84
29,1,88
30,0,78
31,0,86
32,0,83
33,0,84
34,0,88
35,0,88
36,0,88
37,0,88
38,0,82
39,0,82
40,1,87
41,0,76
42,0,85
43,0,84
44,0,85
45,6,88
46,3,82
47,6,84
48,1,88
49,9,87
50,8,86
51,8,88
52,11,85
53,14,87
54,13,87
55,31,87
56,36,88
57,42,90
58,47,91
59,39,84
60,42,84
61,51,82
62,49,83
63,59,84
64,60,87
65,77,86
66,90,87
67,90,87
68,74,82
69,90,81
70,105,84
71,87,80
72,85,85
73,86,84
74,106,84
75,112,83
76,102,82
77,131,80
78,144,77
79,127,82
80,127,82
81,163,81
82,168,83
83,136,82
84,156,83
85,184,84
86,177,86
87,165,86
88,176,84
89,191,82
90,163,82
91,187,82
92,192,80
93,182,80
94,179,80
95,178,79
96,155,79
97,172,81
98,151,84
99,141,81
100,180,78
101,182,87
102,178,81
103,175,83
104,176,82
105,170,79
106,121,80
107,123,84
108,148,83
109,144,86
110,142,83
111,139,81
112,125,80
113,134,80
114,105,81
115,100,81
116,95,82
117,117,80
118,125,84
119,116,80
120,116,80
121,101,77
122,99,80
123,97,79
124,74,77
125,92,81
126,105,81
127,50,85
128,113,85
129,102,83
130,100,81
131,97,77
132,44,86
133,105,85
134,76,83
135,56,80
136,89,80
137,85,77
138,79,78
139,101,73
140,101,73
141,101,73
142,101,73
143,101,73
