Turn,Happiness,Load
0,411.0,252.0
1,411.0,252.0
2,411.0,280.0
3,477.0,280.0
4,477.0,378.0
5,473.0,415.0
6,472.0,375.0
7,449.0,395.0
8,431.0,413.0
9,430.0,411.0
10,436.0,395.0
11,445.0,405.0
12,424.0,382.0
13,449.0,374.0
14,451.0,363.0
15,445.0,376.0
16,446.0,425.0
17,464.0,426.0
18,457.0,429.0
19,464.0,409.0
20,474.0,409.0
21,473.0,415.0
22,471.0,414.0
23,471.0,394.0
24,489.0,405.0
25,498.0,430.0
26,490.0,418.0
27,479.0,433.0
28,482.0,403.0
29,497.0,398.0
30,518.0,409.0
31,505.0,434.0
32,509.0,424.0
33,502.0,455.0
34,498.0,416.0
35,489.0,420.0
36,491.0,408.0
37,479.0,432.0
38,488.0,436.0
39,487.0,415.0
40,481.0,406.0
41,455.0,402.0
42,468.0,397.0
43,450.0,423.0
44,461.0,400.0
45,456.0,431.0
46,442.0,420.0
47,435.0,420.0
48,430.0,435.0
49,390.0,435.0
50,399.0,429.0
51,366.0,420.0
52,346.0,401.0
53,400.0,404.0
54,372.0,391.0
55,394.0,410.0
56,392.0,422.0
57,368.0,436.0
58,361.0,426.0
59,350.0,405.0
60,369.0,400.0
61,356.0,382.0
62,378.0,405.0
63,382.0,396.0
64,367.0,414.0
65,384.0,397.0
66,360.0,398.0
67,360.0,404.0
68,377.0,426.0
69,408.0,425.0
70,437.0,405.0
71,417.0,392.0
72,391.0,404.0
73,405.0,407.0
74,418.0,423.0
75,444.0,418.0
76,449.0,409.0
77,466.0,415.0
78,494.0,422.0
79,488.0,414.0
80,486.0,407.0
81,524.0,420.0
82,509.0,383.0
83,529.0,400.0
84,525.0,416.0
85,528.0,426.0
86,551.0,412.0
87,536.0,402.0
88,552.0,405.0
89,539.0,415.0
90,560.0,410.0
91,550.0,415.0
92,622.0,413.0
93,569.0,412.0
94,580.0,422.0
95,561.0,442.0
96,567.0,437.0
97,572.0,414.0
98,573.0,409.0
99,582.0,409.0
100,607.0,419.0
101,576.0,419.0
102,604.0,423.0
103,599.0,419.0
104,598.0,408.0
105,569.0,402.0
106,594.0,402.0
107,582.0,407.0
108,518.0,409.0
109,516.0,396.0
110,522.0,404.0
111,545.0,417.0
112,535.0,423.0
113,547.0,424.0
114,601.0,399.0
115,595.0,396.0
116,503.0,390.0
117,555.0,407.0
118,507.0,405.0
119,492.0,407.0
120,489.0,398.0
121,479.0,428.0
122,468.0,429.0
123,475.0,434.0
124,439.0,435.0
125,490.0,444.0
126,498.0,449.0
127,445.0,433.0
128,512.0,408.0
129,503.0,408.0
130,520.0,390.0
131,467.0,400.0
132,492.0,387.0
133,548.0,427.0
134,564.0,412.0
135,493.0,415.0
136,495.0,442.0
137,468.0,426.0
138,510.0,429.0
139,462.0,424.0
140,443.0,424.0
141,443.0,424.0
142,443.0,252.0
143,490.0,252.0
