Turn,Happiness,Load
0,0,62
1,0,62
2,0,62
3,0,74
4,0,72
5,226,77
6,220,81
7,210,83
8,423,76
9,350,78
10,358,78
11,330,78
12,323,79
13,325,80
14,347,80
15,337,81
16,325,81
17,322,85
18,409,76
19,383,78
20,378,79
21,355,83
22,411,77
23,379,77
24,385,79
25,359,79
26,347,80
27,320,80
28,299,80
29,309,80
30,315,82
31,313,78
32,323,80
33,408,77
34,369,78
35,356,82
36,372,77
37,336,80
38,326,82
39,323,82
40,310,83
41,319,78
42,389,75
43,324,76
44,264,78
45,214,78
46,191,81
47,222,83
48,177,81
49,132,80
50,120,79
51,112,81
52,106,82
53,68,79
54,54,78
55,49,78
56,26,76
57,34,80
58,29,78
59,14,79
60,13,78
61,13,79
62,24,80
63,15,82
64,20,82
65,6,77
66,10,78
67,12,84
68,6,79
69,6,81
70,5,76
71,5,78
72,7,78
73,3,78
74,9,79
75,8,80
76,8,80
77,0,79
78,3,80
79,3,80
80,0,75
81,0,75
82,1,76
83,1,77
84,1,84
85,0,77
86,0,78
87,0,81
88,0,76
89,0,77
90,1,78
91,0,82
92,0,80
93,0,80
94,0,80
95,0,77
96,0,83
97,0,77
98,0,77
99,5,77
100,4,81
101,0,75
102,1,77
103,0,76
104,0,75
105,8,76
106,13,79
107,13,80
108,6,79
109,0,81
110,0,83
111,0,75
112,0,75
113,0,75
114,0,75
115,0,75
116,0,75
117,0,79
118,6,78
119,0,75
120,0,75
121,0,75
122,0,79
123,22,80
124,37,79
125,20,80
126,16,80
127,16,80
128,0,76
129,16,79
130,25,80
131,13,85
132,42,84
133,20,78
134,10,77
135,0,75
136,0,78
137,0,77
138,1,77
139,0,75
140,0,75
141,0,75
142,0,75
143,0,73
