Turn,Happiness,Load
0,0.0,263.0
1,0.0,263.0
2,0.0,279.0
3,14.0,310.0
4,30.0,392.0
5,52.0,426.0
6,544.0,413.0
7,553.0,418.0
8,541.0,425.0
9,517.0,435.0
10,546.0,424.0
11,549.0,442.0
12,527.0,414.0
13,536.0,429.0
14,512.0,450.0
15,509.0,428.0
16,540.0,434.0
17,526.0,443.0
18,544.0,423.0
19,556.0,426.0
20,541.0,423.0
21,552.0,420.0
22,564.0,411.0
23,586.0,421.0
24,585.0,432.0
25,583.0,408.0
26,589.0,426.0
27,575.0,419.0
28,594.0,405.0
29,605.0,438.0
30,569.0,433.0
31,575.0,425.0
32,573.0,438.0
33,568.0,449.0
34,555.0,434.0
35,527.0,434.0
36,538.0,416.0
37,521.0,418.0
38,538.0,412.0
39,515.0,421.0
40,514.0,427.0
41,517.0,451.0
42,508.0,427.0
43,502.0,444.0
44,483.0,410.0
45,479.0,423.0
46,472.0,435.0
47,425.0,411.0
48,428.0,421.0
49,419.0,411.0
50,379.0,431.0
51,346.0,434.0
52,347.0,442.0
53,348.0,433.0
54,328.0,431.0
55,325.0,417.0
56,333.0,432.0
57,316.0,387.0
58,340.0,403.0
59,331.0,423.0
60,300.0,428.0
61,327.0,435.0
62,362.0,416.0
63,383.0,422.0
64,354.0,398.0
65,347.0,416.0
66,360.0,430.0
67,366.0,409.0
68,390.0,418.0
69,388.0,419.0
70,386.0,413.0
71,402.0,411.0
72,414.0,440.0
73,414.0,444.0
74,437.0,448.0
75,445.0,443.0
76,486.0,435.0
77,475.0,434.0
78,431.0,421.0
79,401.0,429.0
80,417.0,423.0
81,436.0,431.0
82,466.0,448.0
83,457.0,412.0
84,452.0,432.0
85,447.0,426.0
86,460.0,426.0
87,472.0,421.0
88,478.0,408.0
89,498.0,406.0
90,474.0,425.0
91,468.0,428.0
92,502.0,416.0
93,465.0,420.0
94,465.0,449.0
95,517.0,447.0
96,500.0,432.0
97,464.0,421.0
98,469.0,434.0
99,498.0,410.0
100,435.0,418.0
101,444.0,439.0
102,443.0,431.0
103,449.0,446.0
104,451.0,423.0
105,459.0,412.0
106,437.0,416.0
107,440.0,393.0
108,400.0,415.0
109,390.0,421.0
110,368.0,422.0
111,375.0,401.0
112,386.0,423.0
113,364.0,434.0
114,394.0,423.0
115,359.0,406.0
116,363.0,391.0
117,332.0,408.0
118,311.0,421.0
119,302.0,418.0
120,300.0,424.0
121,297.0,425.0
122,311.0,405.0
123,303.0,389.0
124,275.0,398.0
125,266.0,409.0
126,284.0,409.0
127,285.0,402.0
128,264.0,416.0
129,283.0,431.0
130,279.0,413.0
131,296.0,409.0
132,269.0,412.0
133,272.0,434.0
134,290.0,422.0
135,290.0,430.0
136,323.0,413.0
137,268.0,410.0
138,263.0,389.0
139,233.0,373.0
140,211.0,335.0
141,172.0,288.0
142,118.0,263.0
143,52.0,263.0
