Turn,Happiness,Load
0,0,63
1,0,63
2,0,63
3,0,72
4,0,72
5,0,77
6,0,80
7,1,86
8,1,85
9,1,85
10,1,85
11,1,85
12,1,85
13,11,82
14,4,76
15,4,75
16,3,87
17,7,89
18,15,76
19,24,80
20,29,81
21,28,80
22,35,89
23,42,83
24,43,75
25,49,78
26,57,80
27,59,87
28,51,79
29,61,83
30,68,82
31,68,82
32,77,86
33,83,81
34,81,82
35,90,87
36,96,86
37,99,89
38,106,85
39,103,84
40,103,82
41,91,79
42,95,79
43,101,89
44,97,85
45,107,85
46,109,83
47,124,80
48,121,78
49,134,82
50,137,82
51,112,76
52,114,81
53,116,75
54,150,80
55,147,89
56,143,83
57,143,86
58,119,80
59,126,82
60,109,83
61,126,79
62,122,79
63,122,79
64,122,79
65,148,78
66,161,76
67,162,77
68,158,84
69,160,83
70,133,80
71,129,81
72,127,84
73,127,84
74,127,84
75,127,84
76,166,80
77,156,78
78,151,83
79,159,84
80,214,79
81,149,78
82,150,74
83,148,82
84,125,78
85,122,77
86,127,83
87,123,83
88,122,83
89,117,79
90,99,83
91,102,85
92,60,81
93,60,81
94,57,88
95,56,80
96,45,82
97,45,82
98,17,80
99,16,86
100,46,83
101,53,82
102,55,82
103,37,84
104,37,84
105,48,83
106,57,88
107,21,77
108,20,85
109,23,83
110,49,80
111,42,80
112,48,79
113,28,75
114,28,76
115,17,81
116,38,84
117,55,77
118,55,86
119,31,83
120,37,83
121,37,80
122,44,84
123,54,83
124,38,80
125,38,82
126,34,76
127,34,84
128,12,77
129,19,82
130,18,79
131,28,78
132,20,80
133,30,84
134,29,79
135,19,76
136,16,76
137,30,84
138,17,75
139,14,72
140,5,64
141,6,50
142,4,39
143,4,39
