Turn,Happiness,Load
0,0.0,233.0
1,0.0,233.0
2,0.0,233.0
3,0.0,265.0
4,8.0,291.0
5,24.0,368.0
6,49.0,411.0
7,396.0,399.0
8,392.0,407.0
9,393.0,408.0
10,393.0,417.0
11,407.0,414.0
12,394.0,420.0
13,384.0,433.0
14,400.0,418.0
15,410.0,393.0
16,404.0,393.0
17,394.0,392.0
18,404.0,387.0
19,410.0,394.0
20,425.0,404.0
21,442.0,419.0
22,442.0,410.0
23,495.0,408.0
24,501.0,414.0
25,496.0,374.0
26,486.0,395.0
27,489.0,395.0
28,488.0,384.0
29,464.0,386.0
30,447.0,404.0
31,461.0,417.0
32,468.0,429.0
33,488.0,413.0
34,481.0,415.0
35,481.0,395.0
36,478.0,411.0
37,479.0,406.0
38,466.0,381.0
39,446.0,394.0
40,450.0,391.0
41,415.0,412.0
42,418.0,402.0
43,427.0,383.0
44,412.0,383.0
45,399.0,394.0
46,415.0,386.0
47,399.0,397.0
48,365.0,384.0
49,350.0,383.0
50,352.0,391.0
51,359.0,385.0
52,350.0,370.0
53,333.0,380.0
54,306.0,394.0
55,305.0,390.0
56,276.0,404.0
57,208.0,409.0
58,217.0,387.0
59,193.0,404.0
60,209.0,391.0
61,215.0,386.0
62,180.0,391.0
63,173.0,400.0
64,200.0,406.0
65,215.0,420.0
66,211.0,418.0
67,236.0,410.0
68,240.0,423.0
69,226.0,414.0
70,262.0,421.0
71,266.0,430.0
72,291.0,443.0
73,290.0,407.0
74,388.0,404.0
75,411.0,379.0
76,363.0,395.0
77,388.0,405.0
78,386.0,405.0
79,383.0,401.0
80,389.0,392.0
81,396.0,414.0
82,409.0,403.0
83,417.0,414.0
84,417.0,408.0
85,411.0,408.0
86,425.0,427.0
87,456.0,420.0
88,464.0,431.0
89,480.0,422.0
90,506.0,383.0
91,517.0,387.0
92,512.0,381.0
93,497.0,396.0
94,506.0,408.0
95,513.0,391.0
96,477.0,398.0
97,480.0,398.0
98,497.0,394.0
99,476.0,388.0
100,466.0,369.0
101,442.0,388.0
102,457.0,382.0
103,435.0,383.0
104,423.0,375.0
105,414.0,404.0
106,372.0,396.0
107,361.0,398.0
108,322.0,414.0
109,335.0,423.0
110,293.0,423.0
111,282.0,414.0
112,283.0,390.0
113,229.0,380.0
114,222.0,371.0
115,214.0,392.0
116,230.0,380.0
117,229.0,378.0
118,215.0,383.0
119,210.0,374.0
120,195.0,389.0
121,210.0,389.0
122,213.0,392.0
123,195.0,392.0
124,165.0,407.0
125,189.0,400.0
126,200.0,399.0
127,191.0,374.0
128,183.0,355.0
129,157.0,391.0
130,172.0,396.0
131,188.0,380.0
132,171.0,405.0
133,196.0,390.0
134,157.0,385.0
135,113.0,406.0
136,173.0,390.0
137,168.0,407.0
138,184.0,377.0
139,160.0,357.0
140,118.0,317.0
141,82.0,261.0
142,56.0,233.0
143,40.0,233.0
