Turn,Happiness,Load
0,0,51
1,0,51
2,0,51
3,0,51
4,0,74
5,209,78
6,192,86
7,212,87
8,212,87
9,206,77
10,195,81
11,224,76
12,247,81
13,237,83
14,230,79
15,220,84
16,208,79
17,198,81
18,204,79
19,204,79
20,216,78
21,216,83
22,229,77
23,267,86
24,270,79
25,251,81
26,255,82
27,241,79
28,240,82
29,251,82
30,249,83
31,271,86
32,257,82
33,249,85
34,230,86
35,220,78
36,205,80
37,209,78
38,209,78
39,202,79
40,198,80
41,198,80
42,198,80
43,172,83
44,160,77
45,158,83
46,144,77
47,131,78
48,134,78
49,130,80
50,138,76
51,125,81
52,119,80
53,107,78
54,114,82
55,101,82
56,93,80
57,84,82
58,84,82
59,43,75
60,41,77
61,37,80
62,37,82
63,33,81
64,34,79
65,28,81
66,28,76
67,29,78
68,25,79
69,13,87
70,10,76
71,15,78
72,14,79
73,12,76
74,9,77
75,11,79
76,7,88
77,4,86
78,8,80
79,12,81
80,21,76
81,19,81
82,6,76
83,9,83
84,7,84
85,6,76
86,5,79
87,5,80
88,4,81
89,2,83
90,5,87
91,8,80
92,10,80
93,12,81
94,12,82
95,11,87
96,11,83
97,12,80
98,12,81
99,12,77
100,12,85
101,12,84
102,12,77
103,16,79
104,2,81
105,3,77
106,3,82
107,5,82
108,15,83
109,0,86
110,20,89
111,22,80
112,2,83
113,12,79
114,22,84
115,15,86
116,17,80
117,17,86
118,4,84
119,20,83
120,16,86
121,17,82
122,19,77
123,29,79
124,30,76
125,21,81
126,24,82
127,11,79
128,13,81
129,17,81
130,29,85
131,29,85
132,0,86
133,0,86
134,0,87
135,0,77
136,12,85
137,23,82
138,23,76
139,22,77
140,22,77
141,22,77
142,22,77
143,22,77
