Turn,Happiness,Load
0,385.0,258.0
1,385.0,258.0
2,385.0,258.0
3,385.0,279.0
4,378.0,350.0
5,359.0,396.0
6,505.0,416.0
7,449.0,419.0
8,452.0,394.0
9,446.0,422.0
10,455.0,414.0
11,442.0,400.0
12,423.0,413.0
13,432.0,428.0
14,435.0,428.0
15,450.0,414.0
16,446.0,420.0
17,467.0,420.0
18,443.0,413.0
19,453.0,412.0
20,464.0,421.0
21,498.0,438.0
22,502.0,431.0
23,491.0,444.0
24,502.0,435.0
25,486.0,441.0
26,499.0,425.0
27,486.0,420.0
28,507.0,424.0
29,489.0,419.0
30,499.0,431.0
31,485.0,419.0
32,486.0,404.0
33,486.0,421.0
34,474.0,423.0
35,468.0,428.0
36,464.0,423.0
37,449.0,423.0
38,427.0,431.0
39,412.0,435.0
40,414.0,445.0
41,413.0,434.0
42,406.0,424.0
43,404.0,425.0
44,400.0,414.0
45,324.0,407.0
46,316.0,425.0
47,328.0,423.0
48,320.0,394.0
49,284.0,415.0
50,318.0,414.0
51,323.0,429.0
52,319.0,417.0
53,310.0,427.0
54,327.0,439.0
55,252.0,440.0
56,240.0,417.0
57,233.0,413.0
58,234.0,421.0
59,244.0,421.0
60,260.0,436.0
61,262.0,419.0
62,271.0,415.0
63,299.0,417.0
64,259.0,410.0
65,267.0,421.0
66,277.0,435.0
67,277.0,423.0
68,292.0,426.0
69,292.0,417.0
70,299.0,431.0
71,356.0,424.0
72,361.0,432.0
73,357.0,420.0
74,333.0,416.0
75,366.0,425.0
76,362.0,424.0
77,374.0,412.0
78,384.0,416.0
79,374.0,423.0
80,382.0,408.0
81,408.0,418.0
82,426.0,425.0
83,416.0,427.0
84,420.0,415.0
85,427.0,418.0
86,442.0,409.0
87,443.0,426.0
88,451.0,418.0
89,452.0,421.0
90,455.0,426.0
91,467.0,426.0
92,453.0,425.0
93,451.0,405.0
94,453.0,402.0
95,463.0,398.0
96,457.0,410.0
97,449.0,416.0
98,452.0,426.0
99,446.0,424.0
100,421.0,418.0
101,414.0,404.0
102,420.0,410.0
103,413.0,414.0
104,412.0,431.0
105,412.0,426.0
106,400.0,424.0
107,405.0,419.0
108,427.0,417.0
109,272.0,410.0
110,227.0,425.0
111,243.0,444.0
112,216.0,419.0
113,246.0,430.0
114,252.0,425.0
115,273.0,437.0
116,308.0,441.0
117,317.0,422.0
118,319.0,408.0
119,327.0,416.0
120,167.0,418.0
121,181.0,423.0
122,193.0,427.0
123,211.0,435.0
124,180.0,430.0
125,187.0,413.0
126,201.0,423.0
127,205.0,416.0
128,206.0,410.0
129,220.0,422.0
130,228.0,403.0
131,227.0,408.0
132,224.0,445.0
133,175.0,430.0
134,185.0,421.0
135,215.0,404.0
136,234.0,432.0
137,140.0,432.0
138,163.0,420.0
139,162.0,412.0
140,185.0,412.0
141,185.0,412.0
142,185.0,412.0
143,185.0,412.0
