Turn,Happiness,Load
0,81,50
1,81,50
2,149,54
3,153,62
4,155,73
5,149,82
6,147,84
7,143,80
8,143,79
9,136,76
10,142,76
11,149,86
12,141,80
13,138,80
14,138,80
15,145,84
16,138,76
17,145,77
18,145,77
19,138,80
20,134,84
21,135,81
22,138,80
23,139,89
24,134,81
25,130,82
26,131,83
27,131,83
28,131,76
29,127,76
30,116,81
31,116,81
32,112,76
33,100,76
34,117,79
35,121,79
36,99,80
37,94,76
38,90,81
39,90,81
40,87,78
41,87,75
42,87,75
43,91,82
44,73,76
45,47,80
46,42,80
47,51,80
48,50,76
49,50,78
50,39,80
51,36,81
52,37,78
53,30,80
54,30,80
55,43,74
56,27,78
57,22,80
58,20,86
59,23,78
60,18,82
61,19,82
62,13,80
63,8,85
64,28,86
65,15,85
66,17,84
67,25,85
68,25,81
69,18,79
70,18,79
71,18,79
72,18,80
73,27,82
74,30,88
75,45,82
76,48,81
77,62,83
78,62,83
79,68,77
80,74,79
81,45,77
82,44,80
83,72,81
84,72,81
85,77,84
86,79,77
87,81,77
88,73,77
89,73,78
90,95,77
91,81,79
92,85,78
93,89,80
94,89,80
95,89,80
96,82,76
97,92,79
98,94,86
99,101,89
100,99,79
101,99,79
102,90,85
103,89,80
104,86,86
105,80,85
106,87,84
107,97,82
108,111,80
109,104,76
110,104,76
111,94,76
112,99,78
113,98,78
114,99,80
115,91,81
116,95,82
117,95,82
118,95,82
119,80,81
120,98,78
121,98,81
122,99,89
123,111,80
124,91,75
125,95,81
126,91,79
127,91,79
128,76,79
129,84,83
130,98,84
131,102,87
132,70,84
133,84,78
134,63,82
135,79,85
136,79,85
137,79,85
138,77,82
139,79,76
140,79,76
141,79,76
142,68,48
143,68,48
