Turn,Happiness,Load
0,414.0,239.0
1,442.0,239.0
2,475.0,266.0
3,477.0,273.0
4,476.0,383.0
5,455.0,389.0
6,454.0,367.0
7,454.0,395.0
8,453.0,401.0
9,432.0,384.0
10,447.0,402.0
11,442.0,367.0
12,439.0,365.0
13,442.0,395.0
14,456.0,417.0
15,464.0,416.0
16,457.0,424.0
17,458.0,417.0
18,472.0,412.0
19,470.0,417.0
20,479.0,413.0
21,483.0,403.0
22,485.0,431.0
23,486.0,407.0
24,478.0,413.0
25,479.0,413.0
26,484.0,416.0
27,484.0,415.0
28,489.0,429.0
29,499.0,414.0
30,501.0,392.0
31,503.0,383.0
32,504.0,379.0
33,507.0,397.0
34,508.0,405.0
35,504.0,383.0
36,492.0,403.0
37,482.0,396.0
38,483.0,403.0
39,479.0,402.0
40,470.0,381.0
41,464.0,398.0
42,465.0,407.0
43,465.0,409.0
44,457.0,411.0
45,463.0,408.0
46,412.0,405.0
47,412.0,414.0
48,384.0,387.0
49,405.0,405.0
50,395.0,395.0
51,385.0,392.0
52,367.0,393.0
53,354.0,407.0
54,342.0,417.0
55,347.0,381.0
56,373.0,385.0
57,369.0,375.0
58,383.0,393.0
59,383.0,380.0
60,377.0,407.0
61,353.0,428.0
62,393.0,412.0
63,389.0,419.0
64,385.0,417.0
65,352.0,406.0
66,348.0,419.0
67,359.0,397.0
68,442.0,405.0
69,442.0,398.0
70,412.0,410.0
71,383.0,399.0
72,418.0,391.0
73,440.0,412.0
74,435.0,411.0
75,462.0,419.0
76,474.0,413.0
77,488.0,411.0
78,501.0,381.0
79,498.0,365.0
80,496.0,406.0
81,473.0,422.0
82,479.0,408.0
83,492.0,413.0
84,557.0,408.0
85,578.0,398.0
86,530.0,412.0
87,539.0,378.0
88,534.0,398.0
89,530.0,394.0
90,545.0,407.0
91,553.0,403.0
92,560.0,404.0
93,555.0,402.0
94,584.0,412.0
95,594.0,391.0
96,537.0,373.0
97,580.0,388.0
98,542.0,398.0
99,557.0,392.0
100,579.0,375.0
101,544.0,406.0
102,599.0,425.0
103,584.0,398.0
104,591.0,406.0
105,604.0,410.0
106,551.0,396.0
107,484.0,402.0
108,484.0,410.0
109,499.0,407.0
110,494.0,396.0
111,491.0,394.0
112,487.0,395.0
113,486.0,407.0
114,498.0,418.0
115,482.0,431.0
116,478.0,423.0
117,484.0,406.0
118,484.0,400.0
119,466.0,405.0
120,460.0,398.0
121,472.0,406.0
122,461.0,396.0
123,461.0,400.0
124,478.0,402.0
125,534.0,419.0
126,534.0,405.0
127,484.0,394.0
128,526.0,391.0
129,478.0,404.0
130,460.0,396.0
131,519.0,422.0
132,496.0,419.0
133,489.0,427.0
134,495.0,398.0
135,458.0,392.0
136,450.0,402.0
137,448.0,404.0
138,456.0,369.0
139,505.0,359.0
140,531.0,306.0
141,502.0,258.0
142,472.0,258.0
143,472.0,258.0
