Turn,Happiness,Load
0,0,47
1,0,47
2,0,47
3,0,47
4,408,76
5,391,76
6,354,77
7,370,77
8,299,83
9,310,82
10,370,77
11,374,75
12,368,76
13,337,77
14,335,81
15,332,85
16,413,61
17,404,72
18,384,78
19,372,79
20,461,76
21,383,81
22,386,78
23,366,79
24,344,78
25,321,79
26,356,79
27,345,80
28,334,80
29,404,77
30,368,79
31,330,77
32,307,79
33,304,83
34,302,85
35,282,81
36,271,82
37,365,80
38,339,80
39,350,78
40,318,76
41,293,77
42,270,79
43,260,84
44,274,77
45,274,77
46,245,78
47,231,79
48,178,80
49,170,82
50,172,81
51,132,83
52,92,81
53,92,81
54,101,78
55,78,78
56,77,78
57,76,79
58,54,80
59,29,76
60,32,76
61,28,77
62,33,80
63,20,76
64,20,77
65,13,79
66,16,84
67,21,81
68,22,77
69,9,77
70,8,78
71,6,80
72,5,76
73,0,78
74,0,85
75,2,79
76,3,81
77,3,81
78,0,77
79,0,77
80,0,76
81,0,75
82,0,75
83,0,79
84,0,76
85,6,80
86,8,80
87,0,82
88,0,77
89,0,81
90,0,82
91,0,81
92,1,79
93,1,88
94,4,80
95,4,80
96,2,78
97,0,75
98,1,83
99,20,77
100,0,78
101,11,79
102,11,86
103,20,79
104,0,75
105,0,75
106,0,82
107,0,82
108,7,77
109,1,78
110,1,80
111,1,92
112,1,92
113,0,75
114,0,75
115,3,67
116,5,75
117,5,83
118,5,83
119,5,83
120,5,83
121,5,83
122,5,83
123,5,83
124,39,76
125,31,79
126,19,79
127,0,75
128,2,78
129,0,76
130,32,78
131,30,78
132,0,77
133,12,77
134,3,75
135,0,75
136,0,75
137,0,75
138,24,80
139,0,75
140,0,75
141,0,61
142,0,59
143,0,54
