Turn,Happiness,Load
0,0.0,259.0
1,0.0,259.0
2,0.0,266.0
3,0.0,310.0
4,15.0,392.0
5,79.0,405.0
6,264.0,411.0
7,410.0,422.0
8,404.0,427.0
9,525.0,409.0
10,534.0,413.0
11,521.0,415.0
12,523.0,424.0
13,532.0,422.0
14,542.0,430.0
15,530.0,408.0
16,552.0,411.0
17,568.0,425.0
18,569.0,435.0
19,570.0,426.0
20,581.0,431.0
21,569.0,430.0
22,571.0,426.0
23,578.0,432.0
24,573.0,421.0
25,598.0,434.0
26,598.0,426.0
27,579.0,408.0
28,584.0,437.0
29,563.0,424.0
30,583.0,433.0
31,565.0,417.0
32,543.0,426.0
33,571.0,440.0
34,568.0,411.0
35,578.0,423.0
36,543.0,418.0
37,532.0,421.0
38,512.0,425.0
39,520.0,403.0
40,535.0,419.0
41,491.0,425.0
42,478.0,405.0
43,493.0,430.0
44,464.0,442.0
45,457.0,436.0
46,428.0,431.0
47,412.0,403.0
48,435.0,419.0
49,392.0,439.0
50,382.0,442.0
51,356.0,439.0
52,357.0,439.0
53,348.0,426.0
54,334.0,418.0
55,326.0,423.0
56,310.0,422.0
57,301.0,401.0
58,309.0,415.0
59,321.0,427.0
60,370.0,426.0
61,358.0,422.0
62,361.0,423.0
63,350.0,412.0
64,345.0,419.0
65,355.0,428.0
66,366.0,431.0
67,380.0,430.0
68,384.0,418.0
69,364.0,390.0
70,393.0,413.0
71,404.0,388.0
72,423.0,405.0
73,419.0,425.0
74,430.0,425.0
75,450.0,423.0
76,443.0,435.0
77,409.0,429.0
78,435.0,412.0
79,466.0,417.0
80,471.0,424.0
81,504.0,427.0
82,481.0,437.0
83,488.0,423.0
84,479.0,413.0
85,486.0,417.0
86,529.0,425.0
87,498.0,418.0
88,486.0,421.0
89,505.0,414.0
90,523.0,398.0
91,530.0,422.0
92,536.0,424.0
93,538.0,434.0
94,553.0,411.0
95,492.0,432.0
96,493.0,429.0
97,500.0,394.0
98,525.0,411.0
99,488.0,413.0
100,519.0,396.0
101,503.0,421.0
102,504.0,407.0
103,480.0,413.0
104,458.0,400.0
105,480.0,411.0
106,451.0,404.0
107,480.0,405.0
108,410.0,407.0
109,450.0,432.0
110,449.0,423.0
111,416.0,421.0
112,418.0,394.0
113,345.0,406.0
114,336.0,420.0
115,331.0,419.0
116,338.0,417.0
117,373.0,427.0
118,368.0,409.0
119,344.0,415.0
120,305.0,417.0
121,301.0,403.0
122,284.0,413.0
123,294.0,403.0
124,277.0,407.0
125,289.0,404.0
126,288.0,418.0
127,300.0,425.0
128,297.0,429.0
129,257.0,412.0
130,273.0,408.0
131,244.0,412.0
132,266.0,387.0
133,210.0,404.0
134,215.0,409.0
135,232.0,408.0
136,277.0,393.0
137,257.0,418.0
138,253.0,416.0
139,259.0,383.0
140,200.0,334.0
141,111.0,276.0
142,56.0,259.0
143,50.0,259.0
