Turn,Happiness,Load
0,0,71
1,0,71
2,0,72
3,0,73
4,11,79
5,239,84
6,225,83
7,218,84
8,190,85
9,223,85
10,221,86
11,220,81
12,219,82
13,223,76
14,225,86
15,231,83
16,222,83
17,220,81
18,210,78
19,275,89
20,241,85
21,241,80
22,266,83
23,255,84
24,257,87
25,271,90
26,275,85
27,227,86
28,239,85
29,250,91
30,201,90
31,200,81
32,198,76
33,230,78
34,216,75
35,224,79
36,218,77
37,204,83
38,202,77
39,195,81
40,163,87
41,188,86
42,185,87
43,183,81
44,183,78
45,182,81
46,191,83
47,154,89
48,159,90
49,125,84
50,131,76
51,128,83
52,106,80
53,104,81
54,63,89
55,61,83
56,45,81
57,37,79
58,38,80
59,35,86
60,35,86
61,31,84
62,25,79
63,25,86
64,33,88
65,28,85
66,27,86
67,27,86
68,5,83
69,5,82
70,5,79
71,5,82
72,1,75
73,0,78
74,0,77
75,7,82
76,6,79
77,4,78
78,4,82
79,3,86
80,5,89
81,13,83
82,13,82
83,2,83
84,0,78
85,0,85
86,0,93
87,0,94
88,0,85
89,0,85
90,0,88
91,0,82
92,0,82
93,1,83
94,0,86
95,0,86
96,0,87
97,6,89
98,5,89
99,6,85
100,5,85
101,0,83
102,0,82
103,0,81
104,3,78
105,0,77
106,0,83
107,0,83
108,6,92
109,0,88
110,0,89
111,1,80
112,0,83
113,0,82
114,0,80
115,0,82
116,0,81
117,0,81
118,0,80
119,0,83
120,0,89
121,1,84
122,0,89
123,0,88
124,6,84
125,0,86
126,0,82
127,0,82
128,1,81
129,2,76
130,0,80
131,0,79
132,0,85
133,3,82
134,3,83
135,2,81
136,0,85
137,0,86
138,6,85
139,6,86
140,0,73
141,0,74
142,0,73
143,0,73
