Turn,Happiness,Load
0,0.0,263.0
1,0.0,263.0
2,0.0,272.0
3,0.0,320.0
4,13.0,380.0
5,436.0,435.0
6,425.0,441.0
7,404.0,414.0
8,401.0,410.0
9,403.0,425.0
10,403.0,440.0
11,415.0,448.0
12,421.0,439.0
13,389.0,424.0
14,388.0,420.0
15,448.0,438.0
16,460.0,433.0
17,472.0,443.0
18,459.0,441.0
19,411.0,427.0
20,451.0,417.0
21,445.0,422.0
22,441.0,417.0
23,456.0,425.0
24,479.0,429.0
25,451.0,406.0
26,451.0,417.0
27,462.0,431.0
28,472.0,461.0
29,449.0,427.0
30,444.0,428.0
31,442.0,402.0
32,502.0,408.0
33,488.0,416.0
34,487.0,404.0
35,453.0,415.0
36,476.0,428.0
37,492.0,430.0
38,446.0,441.0
39,489.0,410.0
40,467.0,418.0
41,470.0,429.0
42,459.0,410.0
43,449.0,397.0
44,450.0,423.0
45,452.0,442.0
46,417.0,416.0
47,416.0,425.0
48,411.0,396.0
49,346.0,394.0
50,318.0,407.0
51,325.0,414.0
52,325.0,423.0
53,327.0,396.0
54,289.0,405.0
55,263.0,439.0
56,287.0,440.0
57,267.0,430.0
58,278.0,421.0
59,260.0,421.0
60,254.0,427.0
61,248.0,421.0
62,251.0,410.0
63,235.0,413.0
64,245.0,414.0
65,254.0,429.0
66,278.0,433.0
67,285.0,440.0
68,301.0,413.0
69,299.0,422.0
70,319.0,433.0
71,331.0,430.0
72,334.0,422.0
73,351.0,419.0
74,337.0,417.0
75,354.0,418.0
76,382.0,426.0
77,394.0,409.0
78,415.0,410.0
79,415.0,408.0
80,416.0,415.0
81,424.0,422.0
82,448.0,412.0
83,481.0,410.0
84,458.0,417.0
85,464.0,411.0
86,500.0,413.0
87,488.0,416.0
88,468.0,420.0
89,467.0,433.0
90,460.0,426.0
91,464.0,421.0
92,498.0,406.0
93,494.0,424.0
94,496.0,424.0
95,519.0,418.0
96,516.0,415.0
97,469.0,403.0
98,464.0,409.0
99,456.0,418.0
100,417.0,419.0
101,422.0,420.0
102,418.0,423.0
103,431.0,421.0
104,361.0,423.0
105,385.0,439.0
106,365.0,419.0
107,377.0,423.0
108,394.0,419.0
109,318.0,430.0
110,343.0,412.0
111,333.0,413.0
112,300.0,435.0
113,314.0,437.0
114,299.0,431.0
115,278.0,412.0
116,250.0,418.0
117,283.0,410.0
118,260.0,423.0
119,244.0,414.0
120,239.0,433.0
121,236.0,426.0
122,248.0,409.0
123,213.0,432.0
124,220.0,414.0
125,213.0,425.0
126,218.0,414.0
127,215.0,421.0
128,227.0,423.0
129,196.0,446.0
130,215.0,436.0
131,213.0,426.0
132,187.0,404.0
133,154.0,381.0
134,139.0,413.0
135,164.0,427.0
136,159.0,429.0
137,180.0,436.0
138,179.0,442.0
139,191.0,416.0
140,158.0,352.0
141,127.0,297.0
142,108.0,263.0
143,54.0,263.0
