Turn,Happiness,Load
0,3,31
1,7,35
2,5,36
3,12,68
4,11,75
5,28,85
6,22,80
7,18,83
8,15,83
9,16,81
10,15,82
11,10,86
12,7,91
13,4,81
14,2,81
15,0,77
16,1,78
17,0,81
18,0,85
19,0,80
20,0,84
21,0,85
22,0,83
23,0,78
24,0,78
25,0,78
26,0,82
27,0,85
28,0,90
29,0,86
30,0,89
31,0,89
32,0,89
33,0,82
34,0,81
35,0,81
36,0,75
37,0,83
38,0,85
39,0,85
40,0,78
41,0,78
42,0,81
43,0,84
44,0,90
45,0,93
46,0,91
47,0,83
48,0,84
49,0,83
50,0,79
51,0,80
52,1,80
53,0,85
54,6,82
55,4,82
56,4,81
57,9,86
58,10,84
59,10,84
60,17,85
61,19,82
62,27,86
63,42,88
64,41,86
65,46,87
66,47,80
67,61,81
68,70,81
69,58,84
70,37,83
71,51,83
72,50,85
73,50,83
74,50,83
75,50,83
76,50,83
77,77,79
78,85,86
79,92,92
80,107,88
81,109,79
82,134,85
83,157,80
84,158,80
85,153,88
86,156,78
87,156,78
88,171,80
89,155,82
90,153,83
91,195,84
92,174,83
93,157,82
94,157,82
95,183,82
96,184,81
97,168,80
98,171,90
99,101,82
100,108,84
101,110,85
102,86,80
103,88,81
104,79,86
105,84,82
106,89,89
107,17,80
108,30,86
109,31,86
110,33,81
111,43,81
112,47,84
113,42,81
114,21,86
115,0,84
116,0,85
117,20,86
118,22,87
119,11,82
120,22,87
121,12,80
122,20,85
123,32,86
124,20,80
125,20,77
126,30,85
127,29,79
128,42,79
129,39,79
130,33,77
131,24,79
132,24,80
133,37,83
134,37,83
135,40,84
136,43,79
137,43,89
138,43,79
139,40,76
140,40,76
141,40,76
142,40,76
143,40,76
