Turn,Happiness,Load
0,0.0,268.0
1,0.0,268.0
2,0.0,280.0
3,3.0,322.0
4,12.0,390.0
5,453.0,411.0
6,412.0,433.0
7,401.0,429.0
8,393.0,412.0
9,410.0,413.0
10,434.0,420.0
11,449.0,431.0
12,441.0,429.0
13,408.0,426.0
14,403.0,425.0
15,393.0,443.0
16,396.0,436.0
17,406.0,419.0
18,423.0,427.0
19,425.0,425.0
20,443.0,425.0
21,453.0,430.0
22,451.0,432.0
23,442.0,447.0
24,420.0,453.0
25,434.0,441.0
26,456.0,435.0
27,459.0,409.0
28,476.0,414.0
29,463.0,433.0
30,466.0,407.0
31,463.0,414.0
32,473.0,403.0
33,484.0,419.0
34,464.0,427.0
35,466.0,431.0
36,445.0,427.0
37,464.0,404.0
38,450.0,417.0
39,452.0,410.0
40,427.0,422.0
41,407.0,416.0
42,413.0,424.0
43,413.0,437.0
44,401.0,421.0
45,389.0,420.0
46,375.0,404.0
47,368.0,409.0
48,351.0,422.0
49,360.0,425.0
50,265.0,412.0
51,266.0,422.0
52,270.0,427.0
53,278.0,419.0
54,271.0,430.0
55,229.0,413.0
56,281.0,422.0
57,235.0,428.0
58,227.0,414.0
59,226.0,405.0
60,221.0,411.0
61,244.0,435.0
62,227.0,435.0
63,238.0,420.0
64,262.0,407.0
65,238.0,400.0
66,243.0,423.0
67,253.0,422.0
68,273.0,427.0
69,290.0,420.0
70,295.0,441.0
71,307.0,429.0
72,325.0,433.0
73,345.0,424.0
74,348.0,393.0
75,371.0,423.0
76,368.0,406.0
77,391.0,407.0
78,395.0,424.0
79,418.0,431.0
80,387.0,434.0
81,392.0,423.0
82,409.0,418.0
83,392.0,413.0
84,405.0,427.0
85,445.0,432.0
86,448.0,452.0
87,427.0,431.0
88,434.0,448.0
89,487.0,432.0
90,493.0,421.0
91,500.0,433.0
92,484.0,435.0
93,490.0,434.0
94,500.0,440.0
95,485.0,428.0
96,517.0,443.0
97,513.0,420.0
98,459.0,429.0
99,455.0,431.0
100,444.0,422.0
101,455.0,417.0
102,453.0,436.0
103,428.0,426.0
104,428.0,440.0
105,438.0,428.0
106,439.0,434.0
107,381.0,435.0
108,391.0,426.0
109,402.0,418.0
110,383.0,403.0
111,359.0,429.0
112,355.0,423.0
113,322.0,419.0
114,321.0,422.0
115,326.0,411.0
116,326.0,426.0
117,339.0,433.0
118,300.0,436.0
119,269.0,416.0
120,268.0,413.0
121,227.0,420.0
122,208.0,428.0
123,219.0,430.0
124,230.0,415.0
125,218.0,429.0
126,249.0,442.0
127,206.0,438.0
128,225.0,430.0
129,248.0,424.0
130,273.0,423.0
131,207.0,432.0
132,235.0,425.0
133,243.0,419.0
134,263.0,421.0
135,262.0,417.0
136,211.0,424.0
137,226.0,426.0
138,246.0,444.0
139,227.0,430.0
140,225.0,430.0
141,225.0,430.0
142,225.0,430.0
143,225.0,430.0
