Turn,Happiness,Load
0,65,46
1,75,46
2,67,51
3,67,51
4,63,67
5,74,76
6,70,82
7,71,79
8,69,79
9,72,81
10,75,82
11,65,84
12,68,84
13,65,80
14,65,80
15,65,80
16,71,75
17,75,74
18,74,78
19,71,78
20,77,79
21,75,79
22,70,75
23,75,77
24,75,77
25,71,75
26,79,73
27,83,81
28,83,81
29,76,78
30,79,84
31,80,87
32,76,80
33,76,80
34,76,80
35,77,78
36,80,81
37,74,75
38,68,79
39,75,78
40,71,74
41,75,78
42,73,72
43,69,75
44,70,85
45,64,77
46,67,82
47,56,80
48,50,80
49,58,81
50,50,80
51,50,80
52,61,76
53,61,77
54,51,76
55,52,77
56,54,81
57,56,81
58,56,74
59,54,78
60,56,74
61,60,78
62,63,83
63,61,77
64,61,77
65,70,76
66,70,84
67,69,78
68,87,76
69,69,75
70,88,77
71,87,79
72,94,78
73,94,78
74,109,86
75,104,79
76,104,79
77,110,73
78,104,74
79,102,79
80,106,88
81,98,80
82,98,80
83,117,73
84,122,81
85,120,84
86,123,85
87,117,80
88,118,79
89,130,81
90,115,75
91,123,78
92,117,73
93,122,72
94,122,72
95,133,73
96,126,73
97,131,81
98,129,82
99,127,80
100,129,80
101,135,80
102,130,81
103,136,78
104,136,78
105,143,80
106,126,79
107,114,77
108,120,77
109,116,81
110,116,81
111,113,81
112,119,84
113,130,84
114,123,79
115,119,76
116,111,85
117,131,82
118,103,79
119,103,79
120,104,81
121,104,81
122,91,77
123,99,86
124,96,78
125,96,78
126,104,90
127,95,77
128,104,79
129,85,76
130,102,81
131,101,78
132,99,79
133,98,76
134,103,78
135,108,83
136,108,83
137,108,83
138,108,83
139,83,75
140,99,65
141,104,54
142,104,54
143,104,54
