Turn,Happiness,Load
0,412.0,251.0
1,412.0,251.0
2,412.0,251.0
3,412.0,251.0
4,412.0,311.0
5,405.0,392.0
6,567.0,385.0
7,449.0,397.0
8,435.0,404.0
9,431.0,412.0
10,417.0,408.0
11,408.0,425.0
12,420.0,424.0
13,415.0,422.0
14,443.0,421.0
15,437.0,432.0
16,441.0,416.0
17,456.0,399.0
18,460.0,429.0
19,456.0,416.0
20,454.0,433.0
21,476.0,410.0
22,491.0,420.0
23,491.0,437.0
24,496.0,406.0
25,496.0,418.0
26,480.0,396.0
27,502.0,409.0
28,501.0,395.0
29,502.0,423.0
30,475.0,420.0
31,483.0,422.0
32,494.0,417.0
33,491.0,411.0
34,495.0,423.0
35,495.0,419.0
36,496.0,418.0
37,479.0,404.0
38,470.0,413.0
39,465.0,420.0
40,495.0,420.0
41,472.0,423.0
42,463.0,411.0
43,486.0,432.0
44,477.0,432.0
45,460.0,433.0
46,422.0,399.0
47,449.0,407.0
48,437.0,413.0
49,423.0,395.0
50,409.0,394.0
51,385.0,424.0
52,390.0,417.0
53,375.0,424.0
54,370.0,413.0
55,379.0,400.0
56,383.0,413.0
57,390.0,401.0
58,403.0,402.0
59,401.0,394.0
60,373.0,392.0
61,354.0,413.0
62,353.0,428.0
63,364.0,441.0
64,360.0,413.0
65,363.0,422.0
66,360.0,411.0
67,367.0,412.0
68,349.0,414.0
69,362.0,413.0
70,381.0,414.0
71,432.0,420.0
72,388.0,419.0
73,400.0,417.0
74,401.0,431.0
75,427.0,453.0
76,416.0,428.0
77,435.0,424.0
78,411.0,406.0
79,444.0,402.0
80,463.0,412.0
81,492.0,394.0
82,474.0,411.0
83,497.0,423.0
84,493.0,416.0
85,494.0,409.0
86,494.0,395.0
87,481.0,412.0
88,537.0,415.0
89,538.0,411.0
90,525.0,418.0
91,548.0,409.0
92,529.0,405.0
93,544.0,392.0
94,529.0,402.0
95,542.0,395.0
96,551.0,408.0
97,560.0,387.0
98,597.0,411.0
99,635.0,400.0
100,583.0,377.0
101,587.0,397.0
102,600.0,398.0
103,609.0,418.0
104,579.0,428.0
105,584.0,433.0
106,585.0,421.0
107,572.0,429.0
108,580.0,401.0
109,560.0,393.0
110,506.0,411.0
111,495.0,415.0
112,488.0,418.0
113,569.0,421.0
114,557.0,406.0
115,539.0,425.0
116,531.0,422.0
117,569.0,425.0
118,533.0,435.0
119,528.0,417.0
120,500.0,407.0
121,504.0,426.0
122,507.0,430.0
123,504.0,405.0
124,534.0,410.0
125,490.0,412.0
126,494.0,409.0
127,514.0,413.0
128,533.0,414.0
129,533.0,409.0
130,478.0,417.0
131,483.0,414.0
132,486.0,414.0
133,448.0,435.0
134,460.0,435.0
135,450.0,431.0
136,519.0,430.0
137,513.0,408.0
138,453.0,412.0
139,463.0,410.0
140,457.0,410.0
141,457.0,269.0
142,471.0,251.0
143,528.0,251.0
