Turn,Happiness,Load
0,0,32
1,0,32
2,0,32
3,10,45
4,21,75
5,38,80
6,72,82
7,74,93
8,74,90
9,66,85
10,69,77
11,64,86
12,63,81
13,73,82
14,73,86
15,67,77
16,63,76
17,70,81
18,74,82
19,69,81
20,69,81
21,59,75
22,63,79
23,68,85
24,69,88
25,74,89
26,67,84
27,74,87
28,75,86
29,71,82
30,66,82
31,67,85
32,72,83
33,64,84
34,68,89
35,70,80
36,69,84
37,55,79
38,61,82
39,61,81
40,61,83
41,61,83
42,61,83
43,49,79
44,57,81
45,57,82
46,56,83
47,62,85
48,60,79
49,64,80
50,56,81
51,53,79
52,52,85
53,47,82
54,52,83
55,51,84
56,57,83
57,59,83
58,57,81
59,67,86
60,58,80
61,62,85
62,60,79
63,81,77
64,77,83
65,87,89
66,82,91
67,86,84
68,103,81
69,110,82
70,80,80
71,84,88
72,97,82
73,94,84
74,96,85
75,119,82
76,119,82
77,130,87
78,89,80
79,115,78
80,111,85
81,103,81
82,111,85
83,130,78
84,133,84
85,110,82
86,134,85
87,122,92
88,132,88
89,148,84
90,140,84
91,145,83
92,134,84
93,136,87
94,139,89
95,170,83
96,154,81
97,155,85
98,149,92
99,154,81
100,143,86
101,155,90
102,152,85
103,152,85
104,176,80
105,169,89
106,162,84
107,181,81
108,214,80
109,208,84
110,200,78
111,201,78
112,191,77
113,194,81
114,189,81
115,182,87
116,172,85
117,158,83
118,190,81
119,174,78
120,165,82
121,151,80
122,164,80
123,148,81
124,138,81
125,130,93
126,135,82
127,144,82
128,144,85
129,154,78
130,161,71
131,152,84
132,115,81
133,130,84
134,129,82
135,116,83
136,113,93
137,141,81
138,126,83
139,122,81
140,111,45
141,35,20
142,35,16
143,35,16
