Turn,Happiness,Load
0,0.0,257.0
1,0.0,257.0
2,0.0,257.0
3,0.0,296.0
4,15.0,371.0
5,32.0,425.0
6,547.0,434.0
7,538.0,414.0
8,547.0,415.0
9,555.0,409.0
10,566.0,437.0
11,532.0,420.0
12,526.0,426.0
13,534.0,421.0
14,541.0,416.0
15,548.0,419.0
16,540.0,422.0
17,528.0,428.0
18,528.0,437.0
19,566.0,416.0
20,585.0,416.0
21,575.0,398.0
22,615.0,408.0
23,588.0,420.0
24,592.0,424.0
25,582.0,433.0
26,575.0,410.0
27,619.0,412.0
28,604.0,415.0
29,604.0,405.0
30,617.0,420.0
31,608.0,418.0
32,587.0,417.0
33,557.0,413.0
34,575.0,411.0
35,557.0,427.0
36,540.0,433.0
37,523.0,404.0
38,520.0,404.0
39,505.0,412.0
40,493.0,422.0
41,464.0,446.0
42,433.0,435.0
43,455.0,426.0
44,458.0,405.0
45,427.0,424.0
46,399.0,424.0
47,385.0,428.0
48,380.0,415.0
49,367.0,412.0
50,342.0,408.0
51,315.0,419.0
52,331.0,434.0
53,323.0,412.0
54,324.0,420.0
55,336.0,395.0
56,331.0,410.0
57,345.0,410.0
58,330.0,413.0
59,325.0,401.0
60,330.0,428.0
61,310.0,412.0
62,361.0,417.0
63,389.0,435.0
64,379.0,445.0
65,362.0,434.0
66,372.0,435.0
67,388.0,431.0
68,370.0,419.0
69,404.0,407.0
70,426.0,431.0
71,449.0,416.0
72,448.0,390.0
73,454.0,393.0
74,440.0,395.0
75,453.0,415.0
76,467.0,404.0
77,479.0,424.0
78,486.0,409.0
79,471.0,400.0
80,448.0,431.0
81,458.0,404.0
82,509.0,427.0
83,497.0,419.0
84,492.0,423.0
85,463.0,426.0
86,494.0,442.0
87,488.0,436.0
88,505.0,420.0
89,516.0,408.0
90,500.0,413.0
91,487.0,437.0
92,534.0,424.0
93,518.0,424.0
94,499.0,419.0
95,481.0,430.0
96,482.0,419.0
97,501.0,402.0
98,509.0,421.0
99,484.0,420.0
100,501.0,423.0
101,463.0,406.0
102,430.0,384.0
103,400.0,394.0
104,397.0,399.0
105,355.0,405.0
106,317.0,439.0
107,332.0,405.0
108,333.0,422.0
109,346.0,425.0
110,365.0,416.0
111,348.0,401.0
112,317.0,416.0
113,342.0,403.0
114,307.0,420.0
115,302.0,421.0
116,354.0,430.0
117,303.0,420.0
118,319.0,390.0
119,279.0,394.0
120,296.0,385.0
121,259.0,407.0
122,274.0,407.0
123,295.0,406.0
124,262.0,422.0
125,258.0,399.0
126,275.0,418.0
127,289.0,412.0
128,313.0,404.0
129,333.0,429.0
130,291.0,430.0
131,310.0,408.0
132,254.0,417.0
133,259.0,431.0
134,271.0,398.0
135,269.0,411.0
136,287.0,415.0
137,304.0,435.0
138,290.0,425.0
139,308.0,389.0
140,289.0,333.0
141,165.0,289.0
142,127.0,257.0
143,74.0,257.0
