Turn,Happiness,Load
0,0,53
1,0,53
2,0,53
3,0,70
4,187,76
5,184,80
6,188,86
7,210,79
8,219,78
9,211,81
10,200,85
11,199,78
12,200,79
13,192,80
14,191,78
15,205,77
16,224,81
17,213,76
18,275,75
19,263,76
20,265,81
21,281,84
22,265,78
23,255,79
24,257,76
25,251,78
26,240,77
27,252,79
28,244,75
29,181,76
30,182,78
31,168,75
32,167,76
33,179,85
34,179,85
35,179,85
36,179,85
37,192,77
38,213,84
39,213,84
40,211,80
41,197,78
42,210,78
43,213,78
44,222,82
45,164,71
46,163,74
47,172,77
48,169,77
49,165,67
50,168,75
51,178,85
52,169,78
53,87,85
54,70,79
55,34,83
56,57,79
57,45,78
58,43,80
59,37,78
60,30,78
61,27,77
62,19,78
63,19,78
64,13,78
65,23,80
66,3,75
67,3,79
68,2,78
69,1,76
70,0,77
71,0,81
72,0,79
73,2,80
74,2,81
75,1,77
76,2,78
77,0,82
78,0,82
79,0,79
80,0,83
81,1,79
82,0,75
83,0,75
84,0,77
85,0,75
86,0,86
87,0,75
88,1,77
89,1,79
90,0,80
91,0,81
92,0,75
93,0,75
94,0,79
95,0,76
96,11,77
97,0,76
98,20,78
99,0,75
100,0,75
101,0,75
102,0,75
103,1,76
104,0,75
105,0,75
106,11,76
107,0,75
108,0,73
109,0,75
110,0,79
111,8,78
112,0,84
113,0,78
114,0,75
115,0,75
116,0,73
117,0,78
118,0,75
119,0,75
120,0,73
121,0,75
122,0,76
123,11,79
124,13,83
125,0,77
126,0,75
127,0,75
128,0,76
129,0,75
130,11,76
131,0,75
132,0,76
133,0,77
134,22,81
135,0,78
136,0,75
137,0,75
138,0,77
139,0,75
140,0,75
141,0,74
142,0,70
143,0,72
