Turn,Happiness,Load
0,0.0,268.0
1,0.0,268.0
2,0.0,275.0
3,5.0,340.0
4,25.0,397.0
5,51.0,422.0
6,433.0,408.0
7,424.0,416.0
8,416.0,418.0
9,420.0,412.0
10,442.0,428.0
11,431.0,435.0
12,438.0,420.0
13,424.0,440.0
14,411.0,415.0
15,410.0,410.0
16,398.0,413.0
17,406.0,427.0
18,449.0,423.0
19,479.0,441.0
20,472.0,431.0
21,468.0,430.0
22,487.0,397.0
23,488.0,421.0
24,478.0,433.0
25,480.0,438.0
26,481.0,428.0
27,467.0,445.0
28,470.0,442.0
29,477.0,432.0
30,467.0,432.0
31,457.0,432.0
32,470.0,400.0
33,471.0,443.0
34,467.0,443.0
35,452.0,435.0
36,454.0,460.0
37,466.0,426.0
38,486.0,417.0
39,482.0,419.0
40,435.0,433.0
41,445.0,420.0
42,451.0,424.0
43,440.0,431.0
44,424.0,440.0
45,428.0,439.0
46,388.0,418.0
47,382.0,439.0
48,383.0,429.0
49,334.0,426.0
50,339.0,418.0
51,335.0,434.0
52,304.0,425.0
53,268.0,434.0
54,241.0,425.0
55,268.0,429.0
56,253.0,428.0
57,218.0,422.0
58,241.0,395.0
59,219.0,419.0
60,226.0,408.0
61,240.0,415.0
62,246.0,421.0
63,243.0,418.0
64,260.0,431.0
65,282.0,425.0
66,304.0,430.0
67,282.0,414.0
68,295.0,419.0
69,286.0,420.0
70,290.0,410.0
71,312.0,425.0
72,303.0,437.0
73,313.0,406.0
74,346.0,431.0
75,370.0,432.0
76,376.0,420.0
77,387.0,424.0
78,387.0,428.0
79,386.0,425.0
80,411.0,410.0
81,422.0,423.0
82,413.0,425.0
83,410.0,438.0
84,421.0,432.0
85,490.0,431.0
86,503.0,429.0
87,507.0,439.0
88,501.0,420.0
89,498.0,430.0
90,473.0,431.0
91,474.0,407.0
92,484.0,416.0
93,443.0,431.0
94,453.0,416.0
95,443.0,442.0
96,442.0,428.0
97,405.0,428.0
98,382.0,427.0
99,391.0,421.0
100,393.0,399.0
101,391.0,428.0
102,399.0,422.0
103,361.0,454.0
104,347.0,415.0
105,359.0,402.0
106,324.0,414.0
107,334.0,413.0
108,273.0,413.0
109,278.0,429.0
110,274.0,428.0
111,274.0,456.0
112,271.0,430.0
113,284.0,427.0
114,267.0,408.0
115,245.0,417.0
116,253.0,405.0
117,232.0,402.0
118,239.0,410.0
119,256.0,379.0
120,193.0,415.0
121,233.0,420.0
122,202.0,424.0
123,202.0,402.0
124,181.0,427.0
125,182.0,418.0
126,194.0,420.0
127,198.0,434.0
128,215.0,421.0
129,195.0,431.0
130,169.0,422.0
131,185.0,422.0
132,165.0,446.0
133,193.0,441.0
134,212.0,433.0
135,230.0,410.0
136,167.0,431.0
137,203.0,415.0
138,160.0,439.0
139,168.0,419.0
140,204.0,356.0
141,131.0,281.0
142,79.0,268.0
143,66.0,268.0
