Turn,Happiness,Load
0,71,53
1,71,53
2,71,53
3,71,53
4,71,83
5,3,89
6,1,90
7,2,88
8,3,91
9,3,85
10,3,91
11,1,86
12,3,85
13,3,85
14,9,84
15,11,83
16,9,86
17,11,90
18,20,87
19,20,87
20,20,87
21,20,87
22,20,87
23,34,80
24,40,84
25,48,82
26,50,84
27,54,80
28,52,86
29,60,84
30,60,84
31,78,86
32,77,88
33,74,87
34,67,90
35,88,87
36,96,84
37,66,79
38,80,83
39,97,84
40,106,84
41,106,84
42,109,81
43,107,89
44,102,84
45,112,85
46,106,84
47,108,92
48,111,91
49,119,90
50,109,87
51,117,84
52,137,80
53,135,82
54,137,91
55,143,84
56,140,84
57,138,81
58,126,81
59,149,90
60,157,86
61,120,86
62,117,81
63,125,84
64,125,84
65,153,86
66,156,87
67,180,88
68,149,85
69,154,86
70,152,82
71,156,89
72,154,84
73,155,85
74,174,92
75,185,86
76,186,78
77,186,87
78,168,82
79,145,85
80,134,87
81,120,81
82,152,82
83,147,82
84,141,90
85,122,84
86,121,87
87,115,83
88,111,90
89,101,82
90,101,82
91,131,79
92,122,88
93,127,88
94,101,88
95,102,90
96,107,88
97,99,81
98,105,81
99,86,86
100,92,91
101,89,84
102,69,81
103,64,80
104,68,85
105,72,87
106,67,78
107,63,79
108,24,85
109,43,89
110,50,91
111,31,87
112,35,80
113,26,88
114,28,90
115,32,89
116,29,86
117,36,90
118,42,94
119,42,85
120,52,83
121,63,85
122,55,83
123,16,83
124,32,87
125,32,87
126,29,85
127,35,83
128,22,81
129,30,80
130,31,85
131,31,85
132,40,87
133,44,83
134,54,88
135,56,85
136,61,85
137,34,86
138,34,92
139,43,91
140,50,82
141,50,82
142,50,82
143,50,82
