Turn,Happiness,Load
0,0.0,249.0
1,0.0,249.0
2,0.0,249.0
3,0.0,269.0
4,9.0,390.0
5,75.0,425.0
6,403.0,442.0
7,401.0,444.0
8,402.0,437.0
9,398.0,451.0
10,387.0,432.0
11,448.0,426.0
12,453.0,412.0
13,453.0,409.0
14,453.0,420.0
15,466.0,429.0
16,464.0,440.0
17,457.0,410.0
18,411.0,393.0
19,412.0,413.0
20,408.0,420.0
21,416.0,424.0
22,409.0,440.0
23,422.0,421.0
24,458.0,425.0
25,433.0,424.0
26,444.0,421.0
27,440.0,438.0
28,460.0,433.0
29,454.0,394.0
30,475.0,409.0
31,482.0,406.0
32,470.0,420.0
33,457.0,433.0
34,461.0,415.0
35,454.0,423.0
36,444.0,402.0
37,461.0,404.0
38,440.0,405.0
39,426.0,413.0
40,428.0,417.0
41,411.0,414.0
42,408.0,391.0
43,392.0,425.0
44,392.0,421.0
45,387.0,402.0
46,377.0,413.0
47,377.0,406.0
48,371.0,419.0
49,361.0,425.0
50,375.0,425.0
51,362.0,436.0
52,380.0,424.0
53,383.0,425.0
54,386.0,430.0
55,393.0,409.0
56,253.0,431.0
57,256.0,413.0
58,279.0,415.0
59,274.0,435.0
60,301.0,427.0
61,304.0,421.0
62,310.0,410.0
63,312.0,409.0
64,312.0,425.0
65,245.0,403.0
66,254.0,405.0
67,267.0,415.0
68,264.0,414.0
69,289.0,412.0
70,300.0,417.0
71,308.0,414.0
72,323.0,423.0
73,317.0,424.0
74,355.0,429.0
75,370.0,436.0
76,376.0,433.0
77,406.0,417.0
78,413.0,421.0
79,413.0,413.0
80,420.0,410.0
81,426.0,412.0
82,450.0,418.0
83,461.0,428.0
84,476.0,409.0
85,449.0,408.0
86,458.0,411.0
87,458.0,413.0
88,468.0,412.0
89,488.0,417.0
90,488.0,438.0
91,482.0,418.0
92,506.0,419.0
93,518.0,420.0
94,525.0,431.0
95,537.0,427.0
96,493.0,417.0
97,487.0,407.0
98,483.0,419.0
99,447.0,418.0
100,450.0,424.0
101,459.0,414.0
102,439.0,432.0
103,423.0,424.0
104,441.0,413.0
105,429.0,414.0
106,438.0,411.0
107,355.0,407.0
108,344.0,398.0
109,295.0,401.0
110,290.0,407.0
111,311.0,402.0
112,320.0,411.0
113,331.0,414.0
114,330.0,424.0
115,352.0,403.0
116,348.0,405.0
117,356.0,395.0
118,359.0,400.0
119,365.0,394.0
120,376.0,390.0
121,368.0,401.0
122,371.0,392.0
123,212.0,401.0
124,224.0,425.0
125,257.0,414.0
126,262.0,414.0
127,282.0,427.0
128,298.0,398.0
129,211.0,408.0
130,210.0,420.0
131,224.0,411.0
132,211.0,420.0
133,229.0,418.0
134,231.0,428.0
135,237.0,387.0
136,201.0,415.0
137,226.0,420.0
138,229.0,425.0
139,240.0,429.0
140,244.0,421.0
141,247.0,421.0
142,247.0,421.0
143,247.0,421.0
