Turn,Happiness,Load
0,0,38
1,0,38
2,0,38
3,0,38
4,0,38
5,0,38
6,0,38
7,0,38
8,0,38
9,0,38
10,0,38
11,0,38
12,0,38
13,0,38
14,0,38
15,0,38
16,0,38
17,0,38
18,0,38
19,0,38
20,0,38
21,0,38
22,0,38
23,0,38
24,0,38
25,0,38
26,0,38
27,0,38
28,0,38
29,0,38
30,0,38
31,0,38
32,0,38
33,0,38
34,0,38
35,0,38
36,0,38
37,0,38
38,0,38
39,0,38
40,0,38
41,0,38
42,0,38
43,0,38
44,0,38
45,0,38
46,0,38
47,0,38
48,0,38
49,0,38
50,0,38
51,0,38
52,0,38
53,0,38
54,0,38
55,0,38
56,0,38
57,0,38
58,0,38
59,0,38
60,0,38
61,0,38
62,0,38
63,0,38
64,0,38
65,0,38
66,0,38
67,0,38
68,0,38
69,0,38
70,0,38
71,0,38
72,0,38
73,0,38
74,0,38
75,0,38
76,0,38
77,0,38
78,0,38
79,0,38
80,0,38
81,0,38
82,0,38
83,0,38
84,0,38
85,0,38
86,0,38
87,0,38
88,0,38
89,0,38
90,0,38
91,0,38
92,0,38
93,0,38
94,0,38
95,0,38
96,0,38
97,0,71
98,0,71
99,0,61
100,0,62
101,0,57
102,0,66
103,0,57
104,0,53
105,0,54
106,0,57
107,0,58
108,0,49
109,0,48
110,0,54
111,0,58
112,0,51
113,0,53
114,0,53
115,0,53
116,0,53
117,0,53
118,0,53
119,0,53
120,0,53
121,0,53
122,0,53
123,0,53
124,0,53
125,0,53
126,0,53
127,0,53
128,0,53
129,0,53
130,0,53
131,0,53
132,0,53
133,0,53
134,0,53
135,0,53
136,0,53
137,0,53
138,0,53
139,0,53
140,0,53
141,0,53
142,0,53
143,0,53
