Turn,Happiness,Load
0,0.0,148.0
1,0.0,148.0
2,0.0,148.0
3,0.0,148.0
4,0.0,148.0
5,0.0,148.0
6,0.0,148.0
7,0.0,148.0
8,0.0,148.0
9,0.0,148.0
10,0.0,148.0
11,0.0,148.0
12,0.0,148.0
13,0.0,148.0
14,0.0,148.0
15,0.0,148.0
16,0.0,148.0
17,0.0,148.0
18,0.0,148.0
19,0.0,148.0
20,0.0,148.0
21,0.0,148.0
22,0.0,211.0
23,2.0,223.0
24,2.0,218.0
25,0.0,214.0
26,0.0,209.0
27,0.0,212.0
28,0.0,211.0
29,0.0,216.0
30,0.0,217.0
31,0.0,215.0
32,0.0,221.0
33,0.0,221.0
34,0.0,219.0
35,0.0,219.0
36,0.0,219.0
37,0.0,219.0
38,0.0,219.0
39,0.0,233.0
40,4.0,232.0
41,4.0,227.0
42,4.0,230.0
43,4.0,232.0
44,4.0,230.0
45,3.0,227.0
46,4.0,228.0
47,3.0,230.0
48,4.0,230.0
49,3.0,228.0
50,3.0,231.0
51,4.0,231.0
52,4.0,231.0
53,4.0,231.0
54,4.0,242.0
55,4.0,243.0
56,4.0,245.0
57,4.0,243.0
58,4.0,240.0
59,4.0,241.0
60,4.0,241.0
61,4.0,239.0
62,4.0,238.0
63,4.0,241.0
64,4.0,240.0
65,4.0,240.0
66,4.0,242.0
67,4.0,242.0
68,4.0,244.0
69,4.0,245.0
70,4.0,245.0
71,4.0,245.0
72,4.0,243.0
73,4.0,238.0
74,4.0,239.0
75,4.0,246.0
76,4.0,246.0
77,4.0,246.0
78,4.0,246.0
79,4.0,246.0
80,4.0,246.0
81,4.0,246.0
82,4.0,246.0
83,4.0,246.0
84,4.0,246.0
85,4.0,246.0
86,4.0,246.0
87,4.0,246.0
88,4.0,246.0
89,4.0,246.0
90,4.0,246.0
91,4.0,246.0
92,4.0,246.0
93,4.0,246.0
94,4.0,246.0
95,4.0,246.0
96,4.0,246.0
97,4.0,246.0
98,4.0,246.0
99,4.0,249.0
100,8.0,244.0
101,8.0,231.0
102,4.0,227.0
103,4.0,218.0
104,4.0,223.0
105,4.0,220.0
106,4.0,230.0
107,4.0,229.0
108,4.0,227.0
109,4.0,226.0
110,4.0,227.0
111,4.0,226.0
112,4.0,223.0
113,4.0,225.0
114,4.0,226.0
115,4.0,227.0
116,4.0,222.0
117,4.0,222.0
118,4.0,227.0
119,4.0,234.0
120,4.0,234.0
121,4.0,234.0
122,4.0,234.0
123,4.0,234.0
124,4.0,234.0
125,4.0,234.0
126,4.0,234.0
127,4.0,234.0
128,4.0,234.0
129,4.0,234.0
130,4.0,234.0
131,4.0,234.0
132,4.0,234.0
133,4.0,234.0
134,4.0,234.0
135,4.0,234.0
136,4.0,234.0
137,4.0,234.0
138,4.0,234.0
139,4.0,234.0
140,4.0,234.0
141,4.0,234.0
142,4.0,234.0
143,4.0,234.0
