Turn,Happiness,Load
0,0,29
1,0,29
2,0,29
3,0,29
4,0,29
5,0,29
6,0,29
7,0,29
8,0,29
9,1,62
10,1,58
11,0,53
12,0,54
13,0,58
14,0,48
15,0,52
16,0,57
17,0,57
18,0,57
19,0,57
20,0,57
21,0,57
22,0,57
23,0,57
24,0,57
25,0,57
26,0,57
27,0,57
28,0,57
29,0,57
30,0,57
31,0,57
32,0,57
33,0,57
34,0,57
35,0,57
36,0,57
37,0,57
38,0,57
39,0,57
40,0,57
41,0,57
42,0,57
43,0,54
44,0,58
45,0,60
46,0,50
47,0,44
48,0,44
49,0,44
50,0,44
51,0,44
52,0,44
53,0,44
54,0,44
55,0,44
56,0,44
57,0,44
58,0,44
59,0,44
60,0,44
61,0,44
62,0,44
63,0,44
64,0,44
65,0,44
66,0,55
67,0,55
68,0,48
69,0,45
70,0,48
71,0,49
72,0,52
73,0,56
74,0,55
75,0,53
76,0,50
77,0,43
78,0,43
79,0,43
80,0,43
81,0,43
82,0,43
83,0,43
84,0,43
85,0,43
86,0,43
87,0,43
88,0,43
89,0,43
90,0,43
91,0,43
92,0,43
93,0,43
94,0,43
95,0,43
96,0,43
97,0,43
98,0,43
99,0,43
100,0,43
101,0,43
102,0,43
103,0,43
104,0,43
105,0,43
106,0,43
107,0,43
108,0,43
109,0,43
110,0,43
111,0,43
112,0,43
113,0,43
114,0,43
115,0,43
116,0,43
117,0,43
118,0,43
119,0,43
120,0,43
121,0,43
122,0,43
123,0,43
124,0,43
125,0,43
126,0,43
127,0,43
128,0,43
129,0,43
130,0,43
131,0,43
132,0,43
133,0,43
134,0,43
135,0,43
136,0,43
137,0,43
138,0,43
139,0,43
140,0,43
141,0,43
142,0,43
143,0,43
