Turn,Happiness,Load
0,0.0,153.0
1,0.0,153.0
2,0.0,153.0
3,0.0,153.0
4,0.0,201.0
5,0.0,197.0
6,0.0,194.0
7,0.0,196.0
8,0.0,197.0
9,0.0,201.0
10,0.0,209.0
11,1.0,199.0
12,2.0,193.0
13,0.0,195.0
14,0.0,200.0
15,2.0,197.0
16,1.0,196.0
17,1.0,180.0
18,1.0,176.0
19,0.0,181.0
20,0.0,192.0
21,0.0,202.0
22,1.0,195.0
23,3.0,197.0
24,6.0,204.0
25,10.0,199.0
26,11.0,202.0
27,10.0,199.0
28,10.0,208.0
29,10.0,200.0
30,9.0,198.0
31,5.0,193.0
32,2.0,191.0
33,0.0,191.0
34,0.0,191.0
35,0.0,204.0
36,8.0,204.0
37,7.0,202.0
38,7.0,206.0
39,11.0,201.0
40,11.0,201.0
41,11.0,201.0
42,11.0,201.0
43,11.0,201.0
44,11.0,201.0
45,11.0,201.0
46,11.0,201.0
47,11.0,201.0
48,11.0,201.0
49,11.0,201.0
50,11.0,201.0
51,11.0,201.0
52,11.0,201.0
53,11.0,201.0
54,11.0,201.0
55,11.0,201.0
56,11.0,201.0
57,11.0,231.0
58,11.0,229.0
59,11.0,224.0
60,11.0,216.0
61,11.0,217.0
62,11.0,216.0
63,11.0,236.0
64,11.0,236.0
65,11.0,236.0
66,11.0,235.0
67,11.0,228.0
68,11.0,229.0
69,11.0,223.0
70,11.0,231.0
71,11.0,244.0
72,11.0,244.0
73,11.0,238.0
74,11.0,240.0
75,11.0,235.0
76,11.0,233.0
77,11.0,227.0
78,11.0,228.0
79,11.0,222.0
80,11.0,218.0
81,11.0,218.0
82,11.0,221.0
83,11.0,230.0
84,11.0,229.0
85,11.0,232.0
86,11.0,232.0
87,11.0,232.0
88,11.0,232.0
89,11.0,232.0
90,11.0,232.0
91,11.0,232.0
92,11.0,232.0
93,11.0,232.0
94,11.0,232.0
95,11.0,232.0
96,11.0,232.0
97,11.0,232.0
98,11.0,232.0
99,11.0,232.0
100,11.0,232.0
101,11.0,232.0
102,11.0,232.0
103,11.0,232.0
104,11.0,232.0
105,11.0,232.0
106,11.0,232.0
107,11.0,232.0
108,11.0,232.0
109,11.0,232.0
110,11.0,232.0
111,11.0,232.0
112,11.0,232.0
113,11.0,232.0
114,11.0,232.0
115,11.0,232.0
116,11.0,232.0
117,11.0,232.0
118,11.0,232.0
119,11.0,232.0
120,11.0,232.0
121,11.0,232.0
122,11.0,232.0
123,11.0,232.0
124,11.0,232.0
125,11.0,232.0
126,11.0,232.0
127,11.0,232.0
128,11.0,232.0
129,11.0,232.0
130,11.0,232.0
131,11.0,232.0
132,11.0,232.0
133,11.0,232.0
134,11.0,232.0
135,11.0,232.0
136,11.0,232.0
137,11.0,232.0
138,11.0,232.0
139,11.0,232.0
140,11.0,232.0
141,11.0,163.0
142,0.0,160.0
143,0.0,160.0
