Turn,Happiness,Load
0,0,27
1,0,27
2,0,27
3,0,27
4,0,27
5,0,27
6,0,27
7,0,27
8,0,27
9,0,27
10,0,27
11,0,27
12,0,27
13,0,27
14,0,27
15,0,27
16,0,27
17,0,27
18,0,27
19,0,27
20,0,27
21,0,27
22,0,27
23,0,27
24,0,27
25,0,27
26,0,27
27,0,27
28,0,27
29,0,27
30,0,27
31,0,27
32,0,27
33,0,27
34,0,27
35,0,27
36,0,27
37,0,27
38,0,27
39,0,27
40,0,27
41,0,27
42,0,27
43,0,27
44,0,54
45,0,46
46,0,40
47,0,40
48,0,42
49,0,42
50,0,42
51,0,42
52,0,42
53,0,42
54,0,42
55,0,42
56,0,42
57,0,42
58,0,42
59,0,42
60,0,42
61,0,42
62,0,42
63,0,42
64,0,42
65,0,42
66,0,42
67,0,42
68,0,42
69,0,42
70,0,42
71,0,42
72,0,42
73,0,42
74,0,42
75,0,42
76,0,42
77,0,42
78,0,42
79,0,42
80,0,42
81,0,42
82,0,42
83,0,42
84,0,42
85,0,42
86,0,42
87,0,42
88,0,42
89,0,42
90,0,42
91,0,42
92,0,42
93,0,42
94,0,42
95,0,42
96,0,42
97,0,42
98,0,42
99,0,42
100,0,42
101,0,42
102,0,42
103,0,42
104,0,42
105,0,42
106,0,42
107,0,42
108,0,42
109,0,42
110,0,42
111,0,42
112,0,42
113,0,42
114,0,42
115,0,42
116,0,42
117,0,42
118,0,42
119,0,42
120,0,42
121,0,42
122,0,42
123,0,42
124,0,42
125,0,42
126,0,42
127,0,42
128,0,42
129,0,42
130,0,42
131,0,42
132,0,42
133,0,42
134,0,42
135,0,42
136,0,42
137,0,42
138,0,42
139,0,42
140,0,42
141,0,42
142,0,42
143,0,42
