Turn,Happiness,Load
0,0.0,149.0
1,0.0,149.0
2,0.0,149.0
3,0.0,149.0
4,0.0,194.0
5,3.0,203.0
6,2.0,193.0
7,2.0,187.0
8,1.0,187.0
9,1.0,186.0
10,1.0,186.0
11,1.0,186.0
12,1.0,186.0
13,1.0,186.0
14,1.0,186.0
15,1.0,186.0
16,1.0,192.0
17,1.0,193.0
18,1.0,184.0
19,1.0,183.0
20,1.0,187.0
21,1.0,195.0
22,1.0,191.0
23,1.0,195.0
24,1.0,194.0
25,1.0,194.0
26,1.0,194.0
27,1.0,194.0
28,1.0,194.0
29,1.0,194.0
30,1.0,194.0
31,1.0,194.0
32,1.0,194.0
33,1.0,194.0
34,1.0,194.0
35,1.0,194.0
36,1.0,194.0
37,1.0,194.0
38,1.0,194.0
39,1.0,194.0
40,1.0,194.0
41,1.0,194.0
42,1.0,194.0
43,1.0,194.0
44,1.0,188.0
45,1.0,190.0
46,1.0,192.0
47,1.0,193.0
48,1.0,192.0
49,1.0,193.0
50,1.0,188.0
51,1.0,193.0
52,1.0,192.0
53,1.0,197.0
54,1.0,198.0
55,1.0,198.0
56,1.0,198.0
57,1.0,217.0
58,1.0,218.0
59,1.0,216.0
60,1.0,219.0
61,1.0,219.0
62,1.0,215.0
63,1.0,212.0
64,1.0,211.0
65,1.0,213.0
66,1.0,213.0
67,1.0,216.0
68,1.0,220.0
69,1.0,222.0
70,1.0,218.0
71,1.0,214.0
72,1.0,213.0
73,1.0,229.0
74,1.0,227.0
75,1.0,226.0
76,1.0,222.0
77,1.0,225.0
78,1.0,227.0
79,1.0,228.0
80,1.0,227.0
81,1.0,226.0
82,1.0,227.0
83,1.0,225.0
84,1.0,226.0
85,1.0,226.0
86,1.0,226.0
87,1.0,226.0
88,1.0,226.0
89,1.0,236.0
90,1.0,232.0
91,1.0,234.0
92,1.0,232.0
93,1.0,232.0
94,1.0,214.0
95,1.0,216.0
96,1.0,213.0
97,1.0,212.0
98,1.0,219.0
99,1.0,224.0
100,1.0,223.0
101,1.0,230.0
102,1.0,227.0
103,1.0,227.0
104,1.0,218.0
105,1.0,215.0
106,1.0,212.0
107,1.0,214.0
108,1.0,213.0
109,1.0,212.0
110,1.0,212.0
111,1.0,212.0
112,1.0,212.0
113,1.0,212.0
114,1.0,212.0
115,1.0,212.0
116,1.0,212.0
117,1.0,212.0
118,1.0,212.0
119,1.0,212.0
120,1.0,212.0
121,1.0,212.0
122,1.0,212.0
123,1.0,212.0
124,1.0,212.0
125,1.0,212.0
126,1.0,212.0
127,1.0,212.0
128,1.0,212.0
129,1.0,212.0
130,1.0,212.0
131,1.0,212.0
132,1.0,212.0
133,1.0,212.0
134,1.0,212.0
135,1.0,212.0
136,1.0,212.0
137,1.0,212.0
138,1.0,212.0
139,1.0,212.0
140,1.0,212.0
141,1.0,212.0
142,1.0,212.0
143,1.0,212.0
