Turn,Happiness,Load
0,0.0,150.0
1,0.0,150.0
2,0.0,150.0
3,0.0,150.0
4,0.0,150.0
5,0.0,150.0
6,0.0,150.0
7,0.0,150.0
8,0.0,150.0
9,0.0,150.0
10,0.0,150.0
11,0.0,150.0
12,0.0,150.0
13,0.0,150.0
14,0.0,150.0
15,0.0,184.0
16,3.0,184.0
17,3.0,184.0
18,3.0,184.0
19,3.0,184.0
20,3.0,184.0
21,3.0,184.0
22,3.0,184.0
23,3.0,184.0
24,3.0,184.0
25,3.0,184.0
26,3.0,184.0
27,3.0,184.0
28,3.0,184.0
29,3.0,184.0
30,3.0,184.0
31,3.0,184.0
32,3.0,184.0
33,3.0,184.0
34,3.0,184.0
35,3.0,184.0
36,3.0,184.0
37,3.0,184.0
38,3.0,184.0
39,3.0,184.0
40,3.0,184.0
41,3.0,184.0
42,3.0,184.0
43,3.0,184.0
44,3.0,184.0
45,3.0,184.0
46,3.0,184.0
47,3.0,184.0
48,3.0,184.0
49,3.0,184.0
50,3.0,184.0
51,3.0,184.0
52,3.0,184.0
53,3.0,184.0
54,3.0,184.0
55,3.0,184.0
56,3.0,184.0
57,3.0,184.0
58,3.0,184.0
59,3.0,184.0
60,3.0,184.0
61,3.0,184.0
62,3.0,184.0
63,3.0,184.0
64,3.0,184.0
65,3.0,184.0
66,3.0,184.0
67,3.0,184.0
68,3.0,184.0
69,3.0,184.0
70,3.0,184.0
71,3.0,184.0
72,3.0,184.0
73,3.0,184.0
74,3.0,184.0
75,3.0,184.0
76,3.0,184.0
77,3.0,184.0
78,3.0,184.0
79,3.0,184.0
80,3.0,184.0
81,3.0,184.0
82,3.0,184.0
83,3.0,184.0
84,3.0,184.0
85,3.0,184.0
86,3.0,184.0
87,3.0,184.0
88,3.0,184.0
89,3.0,184.0
90,3.0,184.0
91,3.0,184.0
92,3.0,184.0
93,3.0,184.0
94,3.0,184.0
95,3.0,184.0
96,3.0,184.0
97,3.0,184.0
98,3.0,184.0
99,3.0,184.0
100,3.0,184.0
101,3.0,184.0
102,3.0,184.0
103,3.0,184.0
104,3.0,184.0
105,3.0,184.0
106,3.0,184.0
107,3.0,184.0
108,3.0,184.0
109,3.0,184.0
110,3.0,184.0
111,3.0,184.0
112,3.0,184.0
113,3.0,184.0
114,3.0,184.0
115,3.0,184.0
116,3.0,184.0
117,3.0,184.0
118,3.0,184.0
119,3.0,184.0
120,3.0,184.0
121,3.0,192.0
122,6.0,192.0
123,6.0,192.0
124,6.0,192.0
125,6.0,192.0
126,6.0,192.0
127,6.0,192.0
128,6.0,192.0
129,6.0,192.0
130,6.0,192.0
131,6.0,192.0
132,6.0,192.0
133,6.0,192.0
134,6.0,192.0
135,6.0,192.0
136,6.0,192.0
137,6.0,192.0
138,6.0,192.0
139,6.0,192.0
140,6.0,192.0
141,6.0,192.0
142,6.0,192.0
143,6.0,192.0
