Turn,Happiness,Load
0,0,15
1,0,15
2,0,15
3,0,15
4,0,15
5,0,15
6,0,15
7,0,15
8,0,15
9,0,15
10,0,15
11,0,15
12,0,15
13,0,15
14,0,15
15,0,15
16,0,15
17,0,15
18,0,15
19,0,15
20,0,15
21,0,15
22,0,15
23,0,15
24,0,15
25,0,15
26,0,15
27,0,15
28,0,15
29,0,15
30,0,15
31,0,15
32,0,15
33,0,15
34,0,15
35,0,15
36,0,15
37,0,15
38,0,15
39,0,15
40,0,15
41,0,15
42,0,15
43,0,15
44,0,15
45,0,15
46,0,15
47,0,15
48,0,15
49,0,15
50,0,15
51,0,15
52,0,15
53,0,15
54,0,15
55,0,15
56,0,15
57,0,15
58,0,15
59,0,15
60,0,15
61,0,15
62,0,15
63,0,15
64,0,15
65,0,15
66,0,15
67,0,15
68,0,15
69,0,15
70,0,15
71,0,15
72,0,15
73,0,15
74,0,15
75,0,15
76,0,15
77,0,15
78,0,15
79,0,15
80,0,15
81,0,15
82,0,15
83,0,15
84,0,15
85,0,15
86,0,15
87,0,15
88,0,15
89,0,15
90,0,15
91,0,15
92,0,15
93,0,15
94,0,15
95,0,15
96,0,15
97,0,15
98,0,15
99,0,15
100,0,15
101,0,15
102,0,15
103,0,15
104,0,15
105,8,20
106,8,20
107,8,20
108,8,20
109,8,20
110,8,20
111,8,20
112,8,20
113,8,20
114,8,20
115,8,20
116,8,20
117,8,20
118,8,20
119,8,20
120,8,20
121,8,20
122,8,20
123,8,20
124,8,20
125,8,20
126,8,20
127,8,20
128,8,20
129,8,20
130,8,20
131,8,20
132,8,20
133,8,20
134,8,20
135,8,20
136,8,20
137,8,20
138,8,20
139,8,20
140,8,20
141,0,0
142,0,0
143,0,0
