Turn,Happiness,Load
0,0.0,146.0
1,0.0,146.0
2,0.0,146.0
3,0.0,146.0
4,0.0,146.0
5,0.0,146.0
6,0.0,146.0
7,0.0,146.0
8,0.0,146.0
9,0.0,146.0
10,0.0,146.0
11,0.0,146.0
12,0.0,146.0
13,0.0,146.0
14,0.0,146.0
15,0.0,146.0
16,0.0,146.0
17,0.0,146.0
18,0.0,146.0
19,0.0,146.0
20,0.0,146.0
21,0.0,146.0
22,0.0,146.0
23,0.0,146.0
24,0.0,146.0
25,0.0,146.0
26,0.0,146.0
27,0.0,146.0
28,0.0,146.0
29,0.0,146.0
30,0.0,146.0
31,0.0,146.0
32,0.0,146.0
33,0.0,146.0
34,0.0,146.0
35,0.0,178.0
36,4.0,178.0
37,4.0,178.0
38,4.0,178.0
39,4.0,178.0
40,4.0,178.0
41,4.0,178.0
42,4.0,178.0
43,4.0,178.0
44,4.0,178.0
45,4.0,178.0
46,4.0,178.0
47,4.0,178.0
48,4.0,178.0
49,4.0,178.0
50,4.0,178.0
51,4.0,178.0
52,4.0,178.0
53,4.0,178.0
54,4.0,178.0
55,4.0,178.0
56,4.0,178.0
57,4.0,178.0
58,4.0,178.0
59,4.0,178.0
60,4.0,178.0
61,4.0,178.0
62,4.0,178.0
63,4.0,178.0
64,4.0,178.0
65,4.0,178.0
66,4.0,178.0
67,4.0,178.0
68,4.0,178.0
69,4.0,178.0
70,4.0,178.0
71,4.0,178.0
72,4.0,178.0
73,4.0,178.0
74,4.0,178.0
75,4.0,178.0
76,4.0,178.0
77,4.0,178.0
78,4.0,178.0
79,4.0,178.0
80,4.0,178.0
81,4.0,178.0
82,4.0,178.0
83,4.0,178.0
84,4.0,178.0
85,4.0,178.0
86,4.0,178.0
87,4.0,178.0
88,4.0,178.0
89,4.0,178.0
90,4.0,178.0
91,4.0,178.0
92,4.0,178.0
93,4.0,178.0
94,4.0,178.0
95,4.0,178.0
96,4.0,178.0
97,4.0,178.0
98,4.0,178.0
99,4.0,178.0
100,4.0,178.0
101,4.0,178.0
102,4.0,178.0
103,4.0,178.0
104,4.0,178.0
105,4.0,178.0
106,4.0,178.0
107,4.0,178.0
108,4.0,178.0
109,4.0,178.0
110,4.0,178.0
111,4.0,178.0
112,4.0,178.0
113,4.0,178.0
114,4.0,178.0
115,4.0,178.0
116,4.0,178.0
117,4.0,178.0
118,4.0,178.0
119,4.0,178.0
120,4.0,178.0
121,4.0,178.0
122,4.0,178.0
123,4.0,178.0
124,4.0,178.0
125,4.0,178.0
126,4.0,178.0
127,4.0,178.0
128,4.0,178.0
129,4.0,178.0
130,4.0,178.0
131,4.0,178.0
132,4.0,178.0
133,4.0,178.0
134,4.0,178.0
135,4.0,178.0
136,4.0,178.0
137,4.0,178.0
138,4.0,178.0
139,4.0,178.0
140,4.0,178.0
141,4.0,156.0
142,0.0,156.0
143,0.0,156.0
