Turn,Happiness,Load
0,80,35
1,80,35
2,80,35
3,146,39
4,148,43
5,148,43
6,148,43
7,148,43
8,148,43
9,148,43
10,148,43
11,148,43
12,148,43
13,148,43
14,148,43
15,148,43
16,148,43
17,148,43
18,148,43
19,148,43
20,148,43
21,148,43
22,148,43
23,148,43
24,148,43
25,148,43
26,148,43
27,148,43
28,148,43
29,148,43
30,148,43
31,148,43
32,148,43
33,148,43
34,148,43
35,148,43
36,148,43
37,148,43
38,148,43
39,148,43
40,148,43
41,148,43
42,148,43
43,148,43
44,148,43
45,148,43
46,148,43
47,148,43
48,148,43
49,52,43
50,52,43
51,41,44
52,41,44
53,41,44
54,32,43
55,32,45
56,32,45
57,32,45
58,32,45
59,32,45
60,32,45
61,32,45
62,32,45
63,32,45
64,32,45
65,32,45
66,32,45
67,32,45
68,32,45
69,32,45
70,32,45
71,32,45
72,32,45
73,32,45
74,32,45
75,32,45
76,32,45
77,32,45
78,32,45
79,32,45
80,32,45
81,32,45
82,32,45
83,32,45
84,32,45
85,32,45
86,32,45
87,32,45
88,32,45
89,32,45
90,32,45
91,32,45
92,32,45
93,32,45
94,32,45
95,32,45
96,32,45
97,32,45
98,32,45
99,32,45
100,32,45
101,32,45
102,32,45
103,32,45
104,32,45
105,32,45
106,32,45
107,32,45
108,32,45
109,32,45
110,32,45
111,32,45
112,32,45
113,32,45
114,32,45
115,32,45
116,32,45
117,32,45
118,32,45
119,32,45
120,32,45
121,32,45
122,32,45
123,32,45
124,32,45
125,32,45
126,32,45
127,32,45
128,32,45
129,32,45
130,32,45
131,32,45
132,32,45
133,32,45
134,32,45
135,32,45
136,32,45
137,32,45
138,32,45
139,32,45
140,32,45
141,32,45
142,32,45
143,32,45
