Turn,Happiness,Load
0,501.0,144.0
1,501.0,144.0
2,501.0,144.0
3,501.0,180.0
4,475.0,203.0
5,464.0,203.0
6,464.0,203.0
7,464.0,203.0
8,464.0,203.0
9,464.0,203.0
10,464.0,203.0
11,464.0,203.0
12,464.0,203.0
13,464.0,203.0
14,464.0,203.0
15,464.0,203.0
16,464.0,203.0
17,464.0,203.0
18,464.0,203.0
19,464.0,203.0
20,464.0,203.0
21,464.0,203.0
22,464.0,203.0
23,464.0,203.0
24,464.0,203.0
25,464.0,203.0
26,464.0,203.0
27,464.0,203.0
28,464.0,203.0
29,464.0,203.0
30,464.0,203.0
31,464.0,203.0
32,464.0,203.0
33,464.0,203.0
34,464.0,203.0
35,464.0,203.0
36,464.0,203.0
37,464.0,203.0
38,464.0,203.0
39,464.0,203.0
40,464.0,203.0
41,464.0,203.0
42,464.0,203.0
43,464.0,203.0
44,464.0,203.0
45,464.0,203.0
46,464.0,203.0
47,464.0,219.0
48,415.0,219.0
49,415.0,219.0
50,415.0,219.0
51,415.0,219.0
52,415.0,219.0
53,415.0,219.0
54,415.0,219.0
55,415.0,219.0
56,415.0,219.0
57,415.0,219.0
58,415.0,219.0
59,415.0,219.0
60,415.0,219.0
61,415.0,219.0
62,415.0,219.0
63,415.0,219.0
64,415.0,219.0
65,415.0,219.0
66,415.0,219.0
67,415.0,219.0
68,415.0,219.0
69,415.0,219.0
70,415.0,219.0
71,415.0,219.0
72,415.0,219.0
73,415.0,219.0
74,415.0,219.0
75,415.0,219.0
76,415.0,219.0
77,415.0,219.0
78,415.0,219.0
79,415.0,219.0
80,415.0,219.0
81,415.0,219.0
82,415.0,219.0
83,415.0,219.0
84,415.0,219.0
85,415.0,219.0
86,415.0,219.0
87,415.0,219.0
88,415.0,219.0
89,415.0,219.0
90,415.0,219.0
91,415.0,219.0
92,415.0,219.0
93,415.0,219.0
94,415.0,219.0
95,415.0,219.0
96,415.0,219.0
97,415.0,219.0
98,415.0,219.0
99,415.0,219.0
100,415.0,219.0
101,415.0,219.0
102,415.0,219.0
103,415.0,219.0
104,415.0,219.0
105,415.0,219.0
106,415.0,219.0
107,415.0,219.0
108,415.0,219.0
109,415.0,219.0
110,415.0,219.0
111,415.0,219.0
112,415.0,219.0
113,415.0,219.0
114,415.0,219.0
115,415.0,219.0
116,415.0,219.0
117,415.0,219.0
118,415.0,219.0
119,415.0,219.0
120,415.0,219.0
121,415.0,219.0
122,415.0,219.0
123,415.0,219.0
124,415.0,219.0
125,415.0,219.0
126,415.0,219.0
127,415.0,219.0
128,415.0,219.0
129,415.0,219.0
130,415.0,219.0
131,415.0,219.0
132,415.0,219.0
133,415.0,219.0
134,415.0,219.0
135,415.0,219.0
136,415.0,219.0
137,415.0,219.0
138,415.0,219.0
139,415.0,219.0
140,415.0,219.0
141,415.0,219.0
142,415.0,219.0
143,415.0,219.0
