Turn,Happiness,Load
0,0.0,151.0
1,0.0,151.0
2,0.0,154.0
3,0.0,165.0
4,0.0,176.0
5,0.0,176.0
6,0.0,176.0
7,0.0,176.0
8,0.0,198.0
9,0.0,199.0
10,0.0,193.0
11,0.0,188.0
12,0.0,195.0
13,0.0,196.0
14,0.0,196.0
15,0.0,193.0
16,0.0,193.0
17,0.0,194.0
18,0.0,194.0
19,0.0,194.0
20,0.0,194.0
21,0.0,194.0
22,0.0,194.0
23,0.0,194.0
24,0.0,194.0
25,0.0,194.0
26,0.0,194.0
27,0.0,194.0
28,0.0,194.0
29,0.0,194.0
30,0.0,194.0
31,0.0,194.0
32,0.0,194.0
33,0.0,194.0
34,0.0,194.0
35,0.0,194.0
36,0.0,194.0
37,0.0,194.0
38,0.0,194.0
39,0.0,194.0
40,0.0,194.0
41,0.0,194.0
42,0.0,194.0
43,0.0,194.0
44,0.0,194.0
45,0.0,194.0
46,0.0,194.0
47,0.0,194.0
48,0.0,194.0
49,0.0,194.0
50,0.0,194.0
51,0.0,194.0
52,0.0,194.0
53,0.0,194.0
54,0.0,194.0
55,0.0,194.0
56,0.0,194.0
57,0.0,194.0
58,0.0,194.0
59,0.0,194.0
60,0.0,194.0
61,0.0,194.0
62,0.0,194.0
63,0.0,194.0
64,0.0,190.0
65,0.0,184.0
66,0.0,192.0
67,0.0,193.0
68,0.0,193.0
69,0.0,218.0
70,0.0,213.0
71,0.0,205.0
72,0.0,208.0
73,0.0,207.0
74,0.0,209.0
75,0.0,216.0
76,0.0,216.0
77,0.0,217.0
78,0.0,221.0
79,0.0,219.0
80,0.0,219.0
81,0.0,212.0
82,0.0,203.0
83,0.0,200.0
84,0.0,205.0
85,0.0,209.0
86,1.0,213.0
87,3.0,222.0
88,3.0,231.0
89,15.0,229.0
90,3.0,218.0
91,3.0,225.0
92,3.0,237.0
93,3.0,233.0
94,3.0,224.0
95,5.0,222.0
96,5.0,224.0
97,0.0,232.0
98,0.0,238.0
99,2.0,246.0
100,3.0,252.0
101,3.0,248.0
102,3.0,238.0
103,4.0,238.0
104,4.0,239.0
105,4.0,242.0
106,4.0,242.0
107,5.0,242.0
108,5.0,241.0
109,5.0,238.0
110,6.0,235.0
111,6.0,244.0
112,0.0,249.0
113,0.0,241.0
114,0.0,238.0
115,0.0,247.0
116,4.0,248.0
117,4.0,252.0
118,5.0,254.0
119,5.0,248.0
120,4.0,245.0
121,5.0,246.0
122,4.0,247.0
123,5.0,243.0
124,4.0,244.0
125,5.0,249.0
126,5.0,251.0
127,5.0,246.0
128,5.0,244.0
129,5.0,249.0
130,5.0,243.0
131,5.0,246.0
132,6.0,244.0
133,5.0,245.0
134,5.0,245.0
135,5.0,245.0
136,5.0,245.0
137,5.0,245.0
138,5.0,245.0
139,5.0,245.0
140,5.0,245.0
141,5.0,167.0
142,0.0,167.0
143,0.0,167.0
