Turn,Happiness,Load
0,0.0,151.0
1,0.0,151.0
2,0.0,159.0
3,0.0,180.0
4,0.0,198.0
5,0.0,199.0
6,1.0,201.0
7,1.0,202.0
8,0.0,197.0
9,0.0,200.0
10,0.0,198.0
11,0.0,207.0
12,0.0,215.0
13,1.0,203.0
14,1.0,197.0
15,1.0,183.0
16,1.0,192.0
17,0.0,197.0
18,1.0,202.0
19,2.0,202.0
20,0.0,209.0
21,2.0,200.0
22,0.0,206.0
23,0.0,219.0
24,6.0,208.0
25,7.0,204.0
26,7.0,183.0
27,3.0,193.0
28,0.0,189.0
29,0.0,189.0
30,0.0,189.0
31,0.0,189.0
32,0.0,189.0
33,0.0,189.0
34,0.0,189.0
35,0.0,189.0
36,0.0,189.0
37,0.0,189.0
38,0.0,211.0
39,7.0,211.0
40,8.0,211.0
41,8.0,211.0
42,8.0,211.0
43,8.0,211.0
44,8.0,211.0
45,8.0,211.0
46,8.0,211.0
47,8.0,211.0
48,8.0,211.0
49,8.0,214.0
50,11.0,214.0
51,11.0,214.0
52,11.0,214.0
53,11.0,214.0
54,11.0,214.0
55,11.0,214.0
56,11.0,214.0
57,11.0,214.0
58,11.0,214.0
59,11.0,214.0
60,11.0,214.0
61,11.0,214.0
62,11.0,214.0
63,11.0,214.0
64,11.0,214.0
65,11.0,214.0
66,11.0,214.0
67,11.0,214.0
68,11.0,214.0
69,11.0,214.0
70,11.0,214.0
71,11.0,214.0
72,11.0,214.0
73,11.0,214.0
74,11.0,214.0
75,11.0,214.0
76,11.0,214.0
77,11.0,214.0
78,11.0,214.0
79,11.0,214.0
80,11.0,214.0
81,11.0,214.0
82,11.0,214.0
83,11.0,214.0
84,11.0,214.0
85,11.0,214.0
86,11.0,214.0
87,11.0,214.0
88,11.0,214.0
89,11.0,214.0
90,11.0,214.0
91,11.0,214.0
92,11.0,214.0
93,11.0,214.0
94,11.0,214.0
95,11.0,214.0
96,11.0,214.0
97,11.0,214.0
98,11.0,214.0
99,11.0,214.0
100,11.0,214.0
101,11.0,214.0
102,11.0,214.0
103,11.0,214.0
104,11.0,214.0
105,11.0,214.0
106,11.0,214.0
107,11.0,214.0
108,11.0,214.0
109,11.0,214.0
110,11.0,214.0
111,11.0,214.0
112,11.0,214.0
113,11.0,214.0
114,11.0,214.0
115,11.0,214.0
116,11.0,214.0
117,11.0,214.0
118,11.0,214.0
119,11.0,214.0
120,11.0,214.0
121,11.0,214.0
122,11.0,214.0
123,11.0,214.0
124,11.0,214.0
125,11.0,214.0
126,11.0,214.0
127,11.0,214.0
128,11.0,222.0
129,6.0,221.0
130,0.0,221.0
131,0.0,221.0
132,0.0,229.0
133,1.0,229.0
134,1.0,229.0
135,1.0,235.0
136,6.0,235.0
137,6.0,235.0
138,6.0,235.0
139,6.0,235.0
140,6.0,235.0
141,6.0,173.0
142,0.0,170.0
143,0.0,170.0
