Turn,Happiness,Load
0,30,30
1,19,28
2,19,28
3,19,28
4,19,28
5,19,28
6,19,28
7,19,28
8,19,28
9,19,28
10,19,28
11,19,28
12,19,28
13,19,28
14,19,28
15,19,28
16,19,28
17,19,28
18,19,28
19,19,28
20,19,28
21,19,28
22,19,28
23,19,28
24,19,28
25,19,28
26,19,28
27,19,28
28,19,28
29,19,28
30,19,28
31,19,28
32,19,28
33,19,28
34,19,28
35,19,28
36,19,28
37,19,28
38,19,28
39,19,28
40,19,28
41,19,28
42,19,28
43,19,28
44,19,28
45,19,28
46,19,28
47,19,28
48,19,28
49,19,28
50,19,28
51,19,28
52,19,28
53,19,28
54,19,28
55,19,28
56,19,28
57,19,28
58,19,28
59,19,28
60,19,28
61,19,28
62,19,28
63,19,28
64,19,28
65,19,28
66,19,28
67,19,28
68,19,28
69,19,28
70,19,28
71,19,28
72,19,28
73,19,28
74,19,28
75,19,28
76,19,28
77,19,28
78,19,28
79,19,28
80,19,28
81,19,28
82,19,28
83,19,28
84,19,28
85,19,28
86,19,28
87,19,28
88,19,28
89,19,28
90,19,28
91,19,28
92,19,28
93,19,28
94,19,28
95,19,28
96,19,28
97,19,28
98,19,28
99,19,28
100,19,28
101,19,28
102,19,28
103,19,28
104,19,28
105,19,28
106,19,28
107,19,28
108,19,28
109,19,28
110,19,28
111,19,28
112,19,28
113,19,28
114,19,28
115,19,28
116,19,28
117,19,28
118,19,28
119,19,28
120,19,28
121,19,28
122,19,28
123,19,28
124,19,28
125,19,28
126,19,28
127,19,28
128,19,28
129,19,28
130,19,28
131,19,28
132,19,28
133,19,28
134,19,28
135,19,28
136,19,28
137,19,28
138,19,28
139,19,28
140,19,28
141,19,28
142,19,28
143,19,28
