Turn,Happiness,Load
0,355.0,155.0
1,347.0,155.0
2,347.0,155.0
3,347.0,155.0
4,347.0,155.0
5,347.0,155.0
6,347.0,155.0
7,347.0,155.0
8,347.0,155.0
9,347.0,155.0
10,347.0,155.0
11,347.0,155.0
12,347.0,155.0
13,347.0,155.0
14,347.0,155.0
15,347.0,195.0
16,326.0,190.0
17,326.0,190.0
18,326.0,193.0
19,326.0,193.0
20,326.0,193.0
21,326.0,193.0
22,326.0,193.0
23,326.0,193.0
24,326.0,193.0
25,326.0,193.0
26,326.0,193.0
27,326.0,193.0
28,326.0,193.0
29,326.0,193.0
30,326.0,193.0
31,326.0,193.0
32,326.0,193.0
33,326.0,193.0
34,326.0,193.0
35,326.0,193.0
36,326.0,193.0
37,326.0,193.0
38,326.0,193.0
39,326.0,193.0
40,326.0,193.0
41,326.0,193.0
42,326.0,193.0
43,326.0,193.0
44,326.0,193.0
45,326.0,193.0
46,326.0,193.0
47,326.0,193.0
48,326.0,193.0
49,326.0,193.0
50,326.0,193.0
51,326.0,193.0
52,326.0,198.0
53,325.0,196.0
54,325.0,198.0
55,325.0,196.0
56,325.0,194.0
57,325.0,194.0
58,325.0,194.0
59,325.0,194.0
60,325.0,194.0
61,325.0,194.0
62,325.0,194.0
63,325.0,194.0
64,325.0,194.0
65,325.0,194.0
66,325.0,194.0
67,325.0,194.0
68,325.0,194.0
69,325.0,194.0
70,325.0,194.0
71,325.0,194.0
72,325.0,194.0
73,325.0,194.0
74,325.0,194.0
75,325.0,194.0
76,325.0,194.0
77,325.0,194.0
78,325.0,194.0
79,325.0,194.0
80,325.0,194.0
81,325.0,194.0
82,325.0,194.0
83,325.0,194.0
84,325.0,194.0
85,325.0,194.0
86,325.0,194.0
87,325.0,194.0
88,325.0,194.0
89,325.0,194.0
90,325.0,194.0
91,325.0,194.0
92,325.0,194.0
93,325.0,194.0
94,325.0,194.0
95,325.0,194.0
96,325.0,194.0
97,325.0,194.0
98,325.0,194.0
99,325.0,194.0
100,325.0,194.0
101,325.0,194.0
102,325.0,194.0
103,325.0,194.0
104,325.0,194.0
105,325.0,194.0
106,325.0,194.0
107,325.0,194.0
108,325.0,194.0
109,325.0,194.0
110,325.0,194.0
111,325.0,194.0
112,325.0,194.0
113,325.0,194.0
114,325.0,194.0
115,325.0,194.0
116,325.0,194.0
117,325.0,194.0
118,325.0,194.0
119,325.0,194.0
120,325.0,194.0
121,325.0,194.0
122,325.0,194.0
123,325.0,194.0
124,325.0,194.0
125,325.0,194.0
126,325.0,194.0
127,325.0,194.0
128,325.0,194.0
129,325.0,194.0
130,325.0,194.0
131,325.0,194.0
132,325.0,194.0
133,325.0,194.0
134,325.0,194.0
135,325.0,194.0
136,325.0,194.0
137,325.0,194.0
138,325.0,194.0
139,325.0,194.0
140,325.0,194.0
141,325.0,194.0
142,325.0,194.0
143,325.0,194.0
