Turn,Happiness,Load
0,66,24
1,66,24
2,66,24
3,66,24
4,66,24
5,66,24
6,66,24
7,66,24
8,66,24
9,66,24
10,66,24
11,66,24
12,66,24
13,66,24
14,66,24
15,66,24
16,66,24
17,66,24
18,66,24
19,66,24
20,66,24
21,66,24
22,66,24
23,66,24
24,66,24
25,66,24
26,66,24
27,66,24
28,66,24
29,66,24
30,66,24
31,66,24
32,66,24
33,66,24
34,66,24
35,66,24
36,66,24
37,66,24
38,66,24
39,66,24
40,66,24
41,66,24
42,66,24
43,66,24
44,66,24
45,66,24
46,66,24
47,66,24
48,153,44
49,153,44
50,156,46
51,156,46
52,156,46
53,156,46
54,156,46
55,156,46
56,156,46
57,156,46
58,156,46
59,156,46
60,156,46
61,156,46
62,156,46
63,156,46
64,156,46
65,156,46
66,156,46
67,156,46
68,156,46
69,156,46
70,156,46
71,156,46
72,156,46
73,156,46
74,156,46
75,156,46
76,156,46
77,156,46
78,156,46
79,156,46
80,156,46
81,156,46
82,156,46
83,156,46
84,156,46
85,156,46
86,156,46
87,156,46
88,156,46
89,156,46
90,156,46
91,156,46
92,156,46
93,156,46
94,156,46
95,156,46
96,156,46
97,156,46
98,156,46
99,156,46
100,156,46
101,156,46
102,156,46
103,156,46
104,156,46
105,156,46
106,156,46
107,156,46
108,156,46
109,156,46
110,156,46
111,156,46
112,156,46
113,156,46
114,156,46
115,156,46
116,156,46
117,156,46
118,156,46
119,156,46
120,156,46
121,156,46
122,156,46
123,156,46
124,156,46
125,156,46
126,156,46
127,156,46
128,156,46
129,156,46
130,156,46
131,156,46
132,156,46
133,156,46
134,156,46
135,156,46
136,156,46
137,156,46
138,156,46
139,156,46
140,156,46
141,156,46
142,156,46
143,156,46
